Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,44,4.29,0.697,162,1458,1161,13455,6293,4485,1733,75,135,0.988,38,3,83,7
ATL,43,3.38,0.7,162,1458,1091,13053,6116,4351,1680,85,141,0.986,62,6,48,4
BAL,52,4.38,0.701,162,1458,1204,13077,6027,4359,1614,54,165,0.991,18,2,24,2
BOS,48,4.05,0.694,162,1458,1121,13086,5958,4362,1516,80,142,0.987,21,2,15,1
CHC,56,4.25,0.706,162,1458,1187,13032,6046,4344,1602,100,129,0.983,21,2,14,0
CHW,47,4.46,0.687,162,1458,1110,13095,6041,4365,1555,121,155,0.98,-65,-6,-49,-1
CIN,39,3.64,0.715,162,1458,1122,13263,6140,4421,1643,76,131,0.988,88,8,31,3
CLE,48,4.09,0.683,162,1458,1149,12972,5925,4324,1503,98,135,0.983,-14,-1,-34,-3
COL,43,4.69,0.674,162,1458,1152,12924,6253,4308,1855,90,162,0.986,-5,0,-14,0
DET,39,3.85,0.682,162,1458,1090,13164,5972,4388,1508,76,136,0.987,-53,-5,-60,-5
HOU,50,5.23,0.679,162,1458,1124,12960,6080,4320,1635,125,168,0.979,-70,-6,-42,-1
KCR,43,3.71,0.698,162,1458,1154,13035,5950,4345,1520,85,136,0.986,56,5,92,8
LAA,49,4.55,0.683,162,1458,1135,13119,5985,4373,1500,112,135,0.981,-45,-4,-75,-7
LAD,49,3.59,0.692,162,1458,1058,13053,6183,4351,1723,109,160,0.982,27,2,38,1
MIA,52,3.99,0.695,162,1458,1198,13140,6156,4381,1687,88,144,0.986,10,1,-6,-1
MIL,40,4.24,0.697,162,1458,1137,12984,6070,4328,1628,114,153,0.981,18,2,62,1
MIN,44,4.86,0.679,162,1458,1155,13053,6155,4351,1723,81,178,0.987,-47,-4,-20,0
NYM,53,4.22,0.691,162,1458,1108,13290,6165,4430,1642,93,127,0.985,-34,-3,-13,0
NYY,55,4.14,0.687,162,1458,1128,13026,5955,4342,1544,69,139,0.988,-21,-2,37,3
OAK,44,3.86,0.708,162,1458,1094,13068,5830,4356,1377,97,112,0.983,-7,-1,-58,-5
PHI,51,4.62,0.679,162,1458,1123,12927,6020,4309,1614,97,141,0.984,-50,-5,-94,-1
PIT,49,3.56,0.698,162,1458,1042,13236,6442,4412,1924,106,154,0.984,19,2,67,6
SDP,47,4.32,0.696,162,1458,1006,13095,6146,4365,1698,83,140,0.986,19,2,10,1
SEA,47,4.65,0.683,162,1458,1144,13185,6128,4395,1645,88,149,0.986,-51,-5,-101,-2
SFG,44,4.27,0.689,162,1458,1074,13026,5986,4342,1537,107,128,0.982,39,4,18,2
STL,44,3.68,0.691,162,1458,1031,13137,6172,4379,1718,75,177,0.988,14,1,-20,-2
TBR,41,3.96,0.707,163,1467,1042,13176,6044,4392,1593,59,147,0.99,12,1,31,3
TEX,45,3.9,0.693,163,1467,1138,13170,6025,4390,1549,86,146,0.986,54,5,41,1
TOR,53,4.67,0.69,162,1458,1114,13068,6072,4356,1605,111,145,0.982,-42,-4,24,0
WSN,44,3.86,0.691,162,1458,1169,13011,5993,4337,1549,107,146,0.982,-4,0,-15,-
