Year,Tm,W,L,R/G,Runs,Hits,Stolen Bases,BA,Struck Out,TB,SV,Hits Allowed,Runs Allowed,Strike Outs,ERA,ER,Rtot,DefEff,Winner
2008,ARI,82,80,4.44,720,1355,58,0.251,1287,2244,39,1403,706,1229,3.98,635,-19,0.685,0
2008,ATL,72,90,4.65,753,1514,58,0.27,1023,2286,26,1439,778,1076,4.46,714,-6,0.6920000000000001,0
2008,BAL,68,93,4.86,782,1486,81,0.267,990,2384,35,1538,869,922,5.13,810,-3,0.687,0
2008,BOS,95,67,5.22,845,1565,120,0.28,1068,2503,47,1369,694,1185,4.01,645,22,0.698,0
2008,CHC,97,64,5.31,855,1552,87,0.278,1186,2475,44,1329,671,1264,3.87,624,4,0.703,0
2008,CHW,89,74,4.98,811,1458,67,0.263,1016,2485,34,1471,729,1147,4.06,658,-42,0.6859999999999999,0
2008,CIN,74,88,4.35,704,1351,85,0.247,1125,2229,34,1542,800,1227,4.55,729,-38,0.6709999999999999,0
2008,CLE,81,81,4.97,805,1455,77,0.262,1213,2351,31,1530,761,986,4.45,711,16,0.685,0
2008,COL,74,88,4.61,747,1462,141,0.263,1209,2308,36,1547,822,1041,4.77,766,-37,0.677,0
2008,DET,74,88,5.07,821,1529,63,0.271,1076,2504,34,1541,857,991,4.9,786,-19,0.6829999999999999,0
2008,FLA,84,77,4.78,770,1397,76,0.254,1371,2379,36,1421,767,1127,4.43,707,-4,0.6920000000000001,0
2008,HOU,86,75,4.42,712,1432,114,0.263,1051,2261,48,1453,743,1095,4.36,691,14,0.6970000000000001,0
2008,KCR,75,87,4.27,691,1507,79,0.26899999999999996,1005,2226,44,1473,781,1085,4.48,720,10,0.688,0
2008,LAA,100,62,4.72,765,1486,129,0.268,987,2287,66,1455,697,1106,3.99,644,25,0.691,0
2008,LAD,84,78,4.32,700,1455,126,0.264,1032,2195,35,1381,648,1205,3.68,591,27,0.69,0
2008,MIL,90,72,4.63,750,1398,108,0.253,1203,2386,45,1415,689,1110,3.85,623,22,0.7,0
2008,MIN,88,75,5.09,829,1572,102,0.27899999999999997,979,2301,42,1568,745,995,4.16,675,-19,0.684,0
2008,NYM,89,73,4.93,799,1491,138,0.266,1024,2357,43,1415,715,1181,4.07,662,9,0.6990000000000001,0
2008,NYY,89,73,4.87,789,1512,118,0.271,1015,2381,42,1478,727,1141,4.28,685,10,0.682,0
2008,OAK,75,86,4.01,646,1318,88,0.242,1226,2009,33,1364,690,1061,4.01,640,23,0.6990000000000001,0
2008,PHI,92,70,4.93,799,1407,136,0.255,1117,2412,47,1444,680,1081,3.88,625,39,0.695,1
2008,PIT,67,95,4.54,735,1454,57,0.258,1039,2269,34,1631,884,963,5.08,822,-20,0.675,0
