,Tm,W,L,W-L%,GB
0,Toronto Blue Jays,93,69,0.574,--
1,New York Yankees,87,75,0.537,6.0
2,Baltimore Orioles,81,81,0.5,12.0
3,Tampa Bay Rays,80,82,0.494,13.0
4,Boston Red Sox,78,84,0.48100000000000004,15.0
5,Kansas City Royals,95,67,0.586,--
6,Minnesota Twins,83,79,0.512,12.0
7,Cleveland Indians,81,80,0.503,13.5
8,Chicago White Sox,76,86,0.469,19.0
9,Detroit Tigers,74,87,0.46,20.5
10,Texas Rangers,88,74,0.5429999999999999,--
11,Houston Astros,86,76,0.531,2.0
12,Los Angeles Angels of Anaheim,85,77,0.525,3.0
13,Seattle Mariners,76,86,0.469,12.0
14,Oakland Athletics,68,94,0.42,20.0
15,New York Mets,90,72,0.556,--
16,Washington Nationals,83,79,0.512,7.0
17,Miami Marlins,71,91,0.43799999999999994,19.0
18,Atlanta Braves,67,95,0.414,23.0
19,Philadelphia Phillies,63,99,0.389,27.0
20,St. Louis Cardinals,100,62,0.617,--
21,Pittsburgh Pirates,98,64,0.605,2.0
22,Chicago Cubs,97,65,0.599,3.0
23,Milwaukee Brewers,68,94,0.42,32.0
24,Cincinnati Reds,64,98,0.395,36.0
25,Los Angeles Dodgers,92,70,0.568,--
26,San Francisco Giants,84,78,0.519,8.0
27,Arizona Diamondbacks,79,83,0.488,13.0
28,San Diego Padres,74,88,0.457,18.0
29,Colorado Rockies,68,94,0.42,24.0
