Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,Gpi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,11,11,Angels,Y,Jim Spencer (minors),1B,2.8,1553,4908,146,0.25,0.694,0,0,0,0,0,0,HS,Andover HS ,Glen Burnie,MD
1,1965,2,31,11,Angels,N,Sandy Vance (minors),RHP,0.7,30,42,0,0.167,0.395,30,9,8,3.83,1.37,0,HS,Pasadena HS ,Pasadena,CA
2,1965,3,51,11,Angels,N,Dick Baney (minors),RHP,0.1,42,16,0,0.125,0.301,42,4,1,4.28,1.42,3,HS,Anaheim HS ,Anaheim,CA
3,1965,4,67,7,Angels,Y,John Olerud (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Washington State University ,Pullman,WA
4,1965,5,87,7,Angels,Y,Joe Henderson (minors),3B,-0.8,12,2,0,0,0,16,3,2,6.69,2.06,0,HS,Edison HS ,Fresno,CA
5,1965,6,107,7,Angels,Y,Clyde Wright (minors),OF,13.2,260,378,4,0.183,0.478,329,100,111,3.5,1.29,3,4Yr,Carson-Newman College ,Jefferson City,TN
6,1965,7,127,7,Angels,Y,Marty Pattin (minors),RHP,19.9,214,309,2,0.123,0.309,475,114,109,3.62,1.24,25,4Yr,Eastern Illinois University ,Charleston,IL
7,1965,8,165,0,Angels,Y,Thomas Soderstrom (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Lexington HS ,Lexington,MA
8,1965,9,194,0,Angels,N,Craig Schell (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Monterey HS ,Seaside,CA
9,1965,10,225,0,Angels,N,Robert Crosby (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,James Monroe HS ,Bronx,NY
10,1965,11,254,0,Angels,Y,Gus Gregory (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Illinois at Urbana-Champaign ,Champaign,IL
11,1965,12,285,0,Angels,N,Gary Wormelduff (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Sunset HS ,Hayward,CA
12,1965,13,314,0,Angels,N,Jack Glover (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Banks HS ,Birmingham,AL
13,1965,14,345,0,Angels,Y,Stephen Enos (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Millikan HS ,Long Beach,CA
14,1965,15,374,0,Angels,Y,Sammy Gafford (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,South HS ,Bakersfield,CA
15,1965,16,405,0,Angels,Y,Jarvis Tatum (minors),OF,-0.3,102,254,0,0.232,0.543,0,0,0,0,0,0,HS,Edison HS ,Fresno,CA
16,1965,17,433,0,Angels,Y,Bob Smithson (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Everett Community College ,Everett,WA
17,1965,19,461,0,Angels,Y,George Dugan (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Murray State University ,Murray,KY
18,1965,18,486,0,Angels,Y,Terry Thompson (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Newport Harbor HS ,Newport Beach,CA
19,1965,20,513,0,Angels,Y,Rick Totten (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Coachella Valley HS ,Coachella,CA
20,1965,21,538,0,Angels,Y,Doug Griffin (minors),2B,1.7,632,2136,7,0.245,0.598,0,0,0,0,0,0,HS,El Monte HS ,El Monte,CA
21,1966,1,8,8,Angels,Y,Jim DeNeff (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Indiana University-Bloomington ,Bloomington,IN
22,1966,2,28,8,Angels,Y,David Frost (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Lawton HS ,Lawton,OK
23,1966,3,48,8,Angels,N,Bill Gillean (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Mayfair HS ,Lakewood,CA
24,1966,4,68,8,Angels,N,Jim Suskiewich (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Beaver Falls HS ,Beaver Falls,PA
25,1966,5,88,8,Angels,Y,Leroy Lawhorn (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,West Haven HS ,Memphis,TN
26,1966,6,108,8,Angels,Y,John Dickson (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Edison HS ,Fresno,CA
27,1966,7,128,8,Angels,N,Robert Smith (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,St. John's University ,Queens,NY
28,1966,8,148,8,Angels,Y,Mike Floyd (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Fullerton College ,Fullerton,CA
29,1966,9,168,8,Angels,N,Ken Forsch (minors),RHP,26.1,421,383,0,0.136,0.322,521,114,113,3.37,1.25,51,JC,Sacramento City College ,Sacramento,CA
30,1966,10,188,8,Angels,Y,Tim Hewes (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,JC,Bakersfield College ,Bakersfield,CA
31,1966,11,208,8,Angels,N,Jim Barr (minors),RHP,30.6,421,513,1,0.162,0.396,454,101,112,3.56,1.28,12,HS,Lynwood HS ,Lynwood,CA
32,1966,12,228,8,Angels,N,Larry Bishop (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Howe HS ,Indianapolis,IN
33,1966,13,248,8,Angels,Y,Anthony Mitchell (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Abraham Lincoln HS ,San Diego,CA
34,1966,14,268,8,Angels,Y,Paul DeVaney (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,DeSales HS ,Geneva,NY
35,1966,15,288,8,Angels,Y,Jack McCall (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Clemson University ,Clemson,SC
36,1966,16,308,8,Angels,N,Glen Pickren (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Seminole HS ,Seminole,FL
37,1966,17,328,8,Angels,Y,Bruce Christensen (minors),SS,0.4,29,63,0,0.27,0.619,0,0,0,0,0,0,HS,Chatsworth HS ,Chatsworth,CA
38,1966,18,348,8,Angels,Y,Randy Brown (minors),C,0,18,29,0,0.138,0.458,0,0,0,0,0,0,4Yr,Florida State University ,Tallahassee,FL
39,1966,19,368,8,Angels,N,Alan Jackson (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,St. Clement HS ,Medford,MA
