,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1996,1,30,30,D'backs,Y,Nick Bierbrodt (minors),LHP,-1.0,8.0,8.0,0.0,0.5,1.225,38.0,6.0,9.0,6.66,1.82,0.0,HS,Millikan HS ,Long Beach,CA
1,1996,2,65,30,D'backs,Y,Jerry Proctor (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Muir HS ,Altadena,CA
2,1996,3,95,30,D'backs,Y,Mark Osborne (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Lee County HS ,Sanford,NC
3,1996,4,125,30,D'backs,Y,Josh McAffee (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Farmington HS ,Farmington,NM
4,1996,5,155,30,D'backs,Y,Brad Penny (minors),RHP,19.1,288.0,529.0,3.0,0.157,0.38,349.0,121.0,101.0,4.29,1.38,0.0,HS,Broken Arrow HS ,Broken Arrow,OK
5,1996,6,185,30,D'backs,Y,Eric Putt (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Deltona HS ,Deltona,FL
6,1996,7,215,30,D'backs,N,Casey Fossum (minors),LHP,-1.1,46.0,46.0,0.0,0.087,0.193,237.0,40.0,53.0,5.45,1.52,2.0,HS,Midway HS ,Waco,TX
7,1996,8,245,30,D'backs,Y,Joe Verplancke (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,California State University Los Angeles ,Los Angeles,CA
8,1996,9,275,30,D'backs,Y,Marc Van Wormer (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Prescott HS ,Prescott,AZ
9,1996,10,305,30,D'backs,Y,George Oleksik (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Middle Tennessee State University ,Murfreesboro,TN
10,1996,11,335,30,D'backs,Y,Ron Hartman (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Maryland ,College Park,MD
11,1996,12,365,30,D'backs,Y,Mike Boughton (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Northwood University ,Cedar Hill,TX
12,1996,13,395,30,D'backs,Y,Ben Norris (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Westwood HS ,Austin,TX
13,1996,14,425,30,D'backs,Y,Jamie Gann (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Oklahoma ,Norman,OK
14,1996,15,455,30,D'backs,Y,Reggie Davis (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Augusta State University ,Augusta,GA
15,1996,16,485,30,D'backs,N,Kevin Johnson (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,St. Joseph HS ,Alameda,CA
16,1996,17,515,30,D'backs,Y,Jackie Rexrode (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Riverdale Baptist HS ,Upper Marlboro,MD
17,1996,18,545,30,D'backs,Y,David Chapman (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Alta Loma HS ,Rancho Cucamonga,CA
18,1996,19,575,30,D'backs,N,Jake Brooks (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,East Lake HS ,Tarpon Springs,FL
19,1996,20,605,30,D'backs,Y,John Fleming (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bonita Vista HS ,Chula Vista,CA
20,1996,21,635,30,D'backs,N,Brian Crisorio (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,East Lake HS ,Tarpon Springs,FL
21,1996,22,665,30,D'backs,N,Jeff Nichols (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Duncanville HS ,Duncanville,TX
22,1996,23,695,30,D'backs,Y,Michael McCutchen (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Modesto Junior College ,Modesto,CA
23,1996,24,725,30,D'backs,N,Eric Knott (minors),LHP,-0.6,16.0,6.0,0.0,0.0,0.0,16.0,1.0,3.0,4.5,1.54,0.0,4Yr,Stetson University ,DeLand,FL
24,1996,25,755,30,D'backs,Y,Scott Glasser (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Rancho Santiago College ,Santa Ana,CA
25,1996,26,785,30,D'backs,Y,Rob Ryan (minors),OF,-0.1,55.0,64.0,2.0,0.23399999999999999,0.691,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Washington State University ,Pullman,WA
26,1996,27,815,30,D'backs,Y,Justin Bice (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Grand Canyon University ,Phoenix,AZ
27,1996,28,845,30,D'backs,Y,Beau Baltzell (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Purdue University ,West Lafayette,IN
28,1996,29,875,30,D'backs,Y,Kevin Sweeney (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Mercyhurst College ,Erie,PA
29,1996,30,905,30,D'backs,N,Michael Pesci (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Detroit Mercy ,Detroit,MI
30,1996,31,935,30,D'backs,Y,Jose Nunez (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Northeast Texas Community College ,Mount Pleasant,TX
31,1996,32,965,30,D'backs,Y,Jason Conti (minors),OF,0.5,182.0,420.0,6.0,0.23800000000000002,0.6579999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Pittsburgh ,Pittsburgh,PA
32,1996,33,995,30,D'backs,Y,Dallas Anderson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Lethbridge CC ,Lethbridge,AB
33,1996,34,1025,30,D'backs,N,Corey Hart (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Connors State College ,Warner,OK
34,1996,35,1055,30,D'backs,Y,Brett Hardy (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of California, Santa Barbara ",Santa Barbara,CA
35,1996,36,1085,30,D'backs,Y,Junior Spivey (minors),2B,8.2,457.0,1553.0,48.0,0.27,0.79,0.0,0.0,0.0,0.0,0.0,0.0,JC,Cowley County Community College ,Arkansas City,KS
36,1996,37,1115,30,D'backs,Y,Jason Moore (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,West Virginia State University ,Institute,WV
37,1996,38,1145,30,D'backs,N,Curtis Johnson (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,St. Joseph HS ,Alameda,CA
38,1996,39,1175,30,D'backs,Y,Bert Hudson (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Jay HS ,Jay,FL
39,1996,40,1205,30,D'backs,Y,Travis McCall (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Senator Ruben S. Ayala HS ,Chino Hills,CA
40,1996,41,1234,29,D'backs,Y,Brad Allison (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Morehead State University ,Morehead,KY
41,1996,42,1262,28,D'backs,Y,Erik Sabel (minors),RHP,0.2,44.0,2.0,0.0,0.0,0.0,50.0,3.0,2.0,5.02,1.46,0.0,4Yr,Tennessee Technological University ,Cookeville,TN
42,1996,43,1289,27,D'backs,N,Charles Chungu (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of New Hampshire ,Durham,NH
43,1996,44,1315,26,D'backs,N,James Harrison (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,William Penn HS ,New Castle,DE
44,1996,45,1340,25,D'backs,N,Brett DeBoer (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Lakeland HS ,Rathdrum,ID
45,1996,46,1365,25,D'backs,Y,Matt Bell (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Joplin HS ,Joplin,MO
46,1996,47,1389,24,D'backs,N,Ryan Evans (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Tuscaloosa County HS ,Northport,AL
47,1996,48,1412,23,D'backs,Y,Jorge Martinez (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Newtown HS ,Elmhurst,NY
48,1996,49,1435,23,D'backs,N,Brent Wagler (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Florida Southern College ,Lakeland,FL
49,1996,50,1458,23,D'backs,N,Casey Rowe (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bullard HS ,Fresno,CA
50,1996,51,1479,21,D'backs,N,Patrick Coogan (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Louisiana State University ,Baton Rouge,LA
51,1996,52,1498,19,D'backs,N,Jeff Remiliard (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Memorial HS ,Manchester,NH
52,1996,53,1515,17,D'backs,Y,David Harper (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Lubbock Christian University ,Lubbock,TX
53,1996,54,1531,16,D'backs,N,Jason Jennings (minors),RHP,11.2,177.0,329.0,2.0,0.207,0.519,225.0,62.0,74.0,4.95,1.56,1.0,HS,Ralph H. Poteet HS ,Mesquite,TX
54,1996,55,1547,16,D'backs,N,Blake Ricken (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Fresno City College ,Fresno,CA
55,1996,56,1562,15,D'backs,N,Andy McCulloch (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Western HS ,Las Vegas,NV
56,1996,57,1573,11,D'backs,N,Eric O'Brien (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Alton HS ,Alton,NH
