Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,12,12,Braves,Y,Dick Grant (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Watertown HS ,Watertown,MA
1,1965,2,32,12,Braves,Y,Donald Johnson (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Southern California ,Los Angeles,CA
2,1965,3,52,12,Braves,Y,Douglas King (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Northeastern HS ,Manchester,PA
3,1965,4,64,4,Braves,Y,Charlie Vaughan (minors),LHP,0.2,2,4,0,0.25,0.5,2,1,0,4.5,1.88,0,HS,Brownsville HS ,Brownsville,TX
4,1965,5,84,4,Braves,Y,William Bates (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Washington and Jefferson College ,Washington,PA
5,1965,6,104,4,Braves,Y,Wayne Garrett (minors),SS,16.8,1092,3285,61,0.239,0.691,0,0,0,0,0,0,HS,Sarasota HS ,Sarasota,FL
6,1965,7,124,4,Braves,Y,Steven Godfrey (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
7,1965,8,169,0,Braves,Y,Jefrey Albies (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,"Long Island University, Brooklyn Campus ",Brooklyn,NY
8,1965,9,199,0,Braves,Y,Albert Thompson (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Narbonne HS ,Harbor City,CA
9,1965,10,229,0,Braves,Y,Thomas Randecker (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
10,1965,11,259,0,Braves,Y,Nick Van Lue (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Carson HS ,Carson,CA
11,1965,12,289,0,Braves,N,Craig Scoggins (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Cerritos College ,Norwalk,CA
12,1965,13,319,0,Braves,Y,Robert Christensen (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,California State University Northridge ,Los Angeles,CA
13,1965,14,349,0,Braves,N,Earl Lombardo (minors),INF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Rider University ,Lawrenceville,NJ
14,1965,15,379,0,Braves,Y,Ted Bashore (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,"University of California, Los Angeles ",Los Angeles,CA
15,1965,16,409,0,Braves,N,Ken Lohnes (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Mayfair HS ,Lakewood,CA
16,1965,17,437,0,Braves,Y,Dave Lobb (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Pacelli HS ,Austin,MN
17,1965,18,464,0,Braves,N,John Respondek (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
18,1965,19,490,0,Braves,N,Daniel Hootstein (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Harvard University ,Cambridge,MA
19,1965,20,516,0,Braves,N,John Noriega (minors),RHP,-0.6,13,4,0,0.25,0.5,13,0,0,7.36,1.95,0,4Yr,University of Utah ,Salt Lake City,UT
