,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,15,15.0,Orioles,Y,Scott McDonald (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Marquette HS ,Yakima,WA
1,1965,2,35,15.0,Orioles,Y,Dick Horton (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Dartmouth College ,Hanover,NH
2,1965,3,55,15.0,Orioles,Y,Frank Tepedino (minors),1B,-0.7,265.0,507.0,6.0,0.241,0.593,0.0,0.0,0.0,0.0,0.0,0.0,HS,Wingate HS ,Brooklyn,NY
3,1965,4,78,18.0,Orioles,Y,Kenny Purvis (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Nelson County HS ,Lovingston,VA
4,1965,5,98,18.0,Orioles,N,James Taylor (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Southern Methodist University ,Dallas,TX
5,1965,6,118,18.0,Orioles,Y,Bill Dillman (minors),RHP,-0.9,51.0,33.0,0.0,0.152,0.303,50.0,7.0,12.0,4.54,1.25,3.0,4Yr,Wake Forest University ,Winston-Salem,NC
6,1965,7,138,18.0,Orioles,N,Frank Chambers (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Mississippi State University ,Mississippi State,MS
7,1965,8,153,0.0,Orioles,Y,Donald Roth (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Spring Arbor University ,Spring Arbor,MI
8,1965,9,157,0.0,Orioles,Y,David Halford (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Plainfield HS ,Hancock,WI
9,1965,10,159,0.0,Orioles,N,Tom Weir (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Brigham Young University ,Provo,UT
10,1965,11,200,0.0,Orioles,N,Tom Chiles (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Texas A&M University ,College Station,TX
11,1965,12,213,0.0,Orioles,N,Thomas Lawton (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Connecticut ,Storrs,CT
12,1965,13,217,0.0,Orioles,N,Bob Schaefer (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Connecticut ,Storrs,CT
13,1965,14,260,0.0,Orioles,N,Ronald Paul (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Texas Christian University ,Fort Worth,TX
