,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,Gpi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,5,5,Red Sox,Y,Billy Conigliaro (minors),OF,4.6,347,1130,40,0.256,0.74,0,0,0,0,0,0,HS,Swampscott HS ,Swampscott,MA
1,1965,2,25,5,Red Sox,N,John Hetrick (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Hershey HS ,Hershey,PA
2,1965,3,45,5,Red Sox,Y,Ken Poulsen (minors),3B,-0.1,5,5,0,0.2,0.6,0,0,0,0,0,0,HS,Birmingham HS ,Los Angeles,CA
3,1965,4,75,15,Red Sox,Y,Frederick Marden (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Brandeis University ,Waltham,MA
4,1965,5,95,15,Red Sox,Y,Amos Otis (minors),SS,42.8,1998,7299,193,0.277,0.768,0,0,0,0,0,0,HS,Williamson HS ,Mobile,AL
5,1965,6,115,15,Red Sox,Y,James Thomas (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,California State University Sacramento ,Sacramento,CA
6,1965,7,135,15,Red Sox,Y,Jim Hutto (minors),3B,-0.5,61,97,3,0.175,0.5,0,0,0,0,0,0,HS,Pensacola HS ,Pensacola,FL
7,1965,8,171,0,Red Sox,Y,Douglas Shores (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Northeast HS ,Greensboro,NC
8,1965,9,190,0,Red Sox,N,Ronnie Shotts (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Chaffey HS ,Ontario,CA
9,1965,10,198,0,Red Sox,Y,Anthony Ciarpelli (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Genesee HS ,Syracuse,NY
10,1965,11,231,0,Red Sox,N,Dennis Best (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Gillepsie HS ,Gillepsie,IL
11,1965,12,250,0,Red Sox,N,Manuel Washington (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Paragould HS ,Paragould,AR
12,1965,13,258,0,Red Sox,N,Michael Weber (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Greenville HS ,Greenville,IL
13,1965,14,291,0,Red Sox,Y,Wayne Fuzzard (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,McCarthy HS ,Fort Pierce,FL
14,1965,15,310,0,Red Sox,Y,Billy Farmer (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Choctaw HS ,Choctaw,OK
15,1965,16,318,0,Red Sox,N,Reid Braden (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,JC,Cerritos College ,Norwalk,CA
16,1965,17,351,0,Red Sox,Y,Brian Edgerly (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Colgate University ,Hamilton,NY
17,1965,18,370,0,Red Sox,Y,Ray Jarvis (minors),RHP,-0.9,44,29,0,0.069,0.166,44,5,7,4.64,1.54,1,HS,Hope HS ,Providence,RI
18,1965,19,378,0,Red Sox,Y,John Iannelli (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,East Boston HS ,Boston,MA
19,1965,20,411,0,Red Sox,Y,William Barkley (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Sam Houston State University ,Huntsville,TX
20,1966,1,4,4,Red Sox,Y,Ken Brett (minors),LHP,16.2,255,347,10,0.262,0.698,349,83,85,3.93,1.34,11,HS,El Segundo HS ,El Segundo,CA
21,1966,2,24,4,Red Sox,Y,Joseph McCullough (minors),INF,0,0,0,0,0,0,0,0,0,0,0,0,HS,William L. Dickinson HS ,Jersey City,NJ
22,1966,3,44,4,Red Sox,Y,Richard Hoban (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,West HS ,Cleveland,OH
23,1966,4,64,4,Red Sox,N,Skip Jutze (minors),C,-3.7,254,656,3,0.215,0.512,0,0,0,0,0,0,4Yr,Central Connecticut State University ,New Britain,CT
24,1966,5,84,4,Red Sox,Y,Wayne McGhee (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,California State University Fresno ,Fresno,CA
25,1966,6,104,4,Red Sox,Y,Mike Nagy (minors),RHP,2.1,88,133,0,0.135,0.352,87,20,13,4.15,1.53,0,HS,St. Helena HS ,Bronx,NY
26,1966,7,124,4,Red Sox,Y,Danny Smith (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Red Lion HS ,Red Lion,PA
27,1966,8,144,4,Red Sox,Y,Roger McComas (minors),P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
28,1966,9,164,4,Red Sox,N,Ernest Aguirre (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Bakersfield HS ,Bakersfield,CA
29,1966,10,184,4,Red Sox,N,Nick DeFlorio (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Carey HS ,Franklin Square,NY
30,1966,11,204,4,Red Sox,Y,Bill Hathaway (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Palm Springs HS ,Palm Springs,CA
31,1966,12,224,4,Red Sox,Y,Tom Stephenson (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
32,1966,13,244,4,Red Sox,Y,Dick Guy (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Jemison HS ,Jemison,AL
33,1966,14,264,4,Red Sox,Y,Harry Greenfield (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Husson College ,Bangor,ME
34,1966,15,284,4,Red Sox,Y,Bernard Bruns (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Indiana University of Pennsylvania ,Indiana,PA
35,1966,16,304,4,Red Sox,Y,Ed Phillips (minors),RHP,-0.2,18,3,0,0,0,18,0,2,5.32,1.65,0,4Yr,Colby College ,Waterville,ME
36,1966,17,324,4,Red Sox,Y,Dennis Udy (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Utah ,Salt Lake City,UT
37,1966,18,344,4,Red Sox,Y,William O'Neill (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Windsor Locks HS ,Windsor Locks,CT
38,1966,19,364,4,Red Sox,Y,John Frye (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Michigan State University ,East Lansing,MI
39,1966,20,384,4,Red Sox,Y,Bernard Linn (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Grossmont HS ,El Cajon,CA
40,1966,21,404,4,Red Sox,N,Eugene Collins (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Choctawhatchee HS ,Fort Walton Beach,FL
41,1966,22,424,4,Red Sox,Y,James Chenevert (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Redemptorist HS ,Baton Rouge,LA
42,1966,23,444,4,Red Sox,N,Jackie Fulmer (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Arkansas State University ,Jonesboro,AR
43,1966,24,464,4,Red Sox,N,Jim Whinery (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Thomas Downey HS ,Modesto,CA
44,1966,25,484,4,Red Sox,Y,Steve Egan (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Pittsburg State University ,Pittsburg,KS
45,1966,26,504,4,Red Sox,Y,Richard Goedert (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,JC,MiraCosta College ,Oceanside,CA
46,1966,27,524,4,Red Sox,Y,William Griggs (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Andalusia HS ,Andalusia,AL
47,1966,28,543,4,Red Sox,Y,Louis Inman (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Mississippi Valley State University ,Itta Bena,MS
48,1967,1,3,3,Red Sox,Y,Mike Garman (minors),RHP,2.2,291,42,0,0.119,0.238,303,22,27,3.63,1.41,42,HS,Caldwell HS ,Caldwell,ID
49,1967,2,23,3,Red Sox,N,Daniel Graham (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Bishop Montgomery HS ,Torrance,CA
50,1967,3,43,3,Red Sox,Y,Chris Cross (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Englewood HS ,Jacksonville,FL
51,1967,4,63,3,Red Sox,N,Dudley Mitchell (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Thomas Jefferson HS ,Denver,CO
52,1967,5,83,3,Red Sox,N,Michael Witt (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,McLane HS ,Fresno,CA
53,1967,6,103,3,Red Sox,Y,Samuel Phillips (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Eastern Hills HS ,Fort Worth,TX
54,1967,7,123,3,Red Sox,Y,Alan Wolfenbarger (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Rutledge HS ,Rutledge,TN
55,1967,8,143,3,Red Sox,N,Steve Salata (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Trinity Pawling Prep HS ,Oneonta,NY
56,1967,9,163,3,Red Sox,N,Calvin Meier (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,JC,Grossmont College ,El Cajon,CA
57,1967,10,183,3,Red Sox,Y,Mark Kleibl (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Norland HS ,Miami,FL
58,1967,11,203,3,Red Sox,N,Ronald Sheppard (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Altus HS ,Altus,OK
59,1967,12,223,3,Red Sox,Y,John Newton (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Manteca HS ,Manteca,CA
60,1967,13,243,3,Red Sox,Y,Lawrence Bellm (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Southern Illinois University Edwardsville ,Edwardsville,IL
61,1967,14,263,3,Red Sox,N,James Thurston (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Little Rock Central HS ,Little Rock,AR
62,1967,15,283,3,Red Sox,Y,James Powers (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,St. Bernard School ,Montville,CT
63,1967,16,303,3,Red Sox,Y,Michael Spellman (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,St. Bernard School ,Montville,CT
64,1967,17,323,3,Red Sox,N,Michael James (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,McKinney HS ,McKinney,TX
65,1967,18,343,3,Red Sox,N,Tom Harmon (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Eastern Hills HS ,Fort Worth,TX
66,1967,19,363,3,Red Sox,Y,Gene Povlick (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,East Central HS ,Tulsa,OK
67,1968,1,20,20,Red Sox,Y,Thomas Maggard (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Glenn HS ,Norwalk,CA
68,1968,2,40,20,Red Sox,Y,Curtis Suchan (minors),INF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Jesuit HS ,Tampa,FL
69,1968,3,60,20,Red Sox,Y,Lynn McGlothen (minors),RHP,14.3,299,456,0,0.173,0.402,318,86,93,3.98,1.42,2,HS,Grambling HS ,Simsboro,LA
70,1968,4,80,20,Red Sox,Y,Allen Collins (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Glendora HS ,Glendora,CA
71,1968,5,104,20,Red Sox,N,Manuel Crespo (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Miami Senior HS ,Miami,FL
72,1968,6,128,20,Red Sox,Y,Cecil Cooper (minors),1B,36,1896,7349,241,0.298,0.803,0,0,0,0,0,0,HS,Brenham HS ,Brenham,TX
73,1968,7,152,20,Red Sox,Y,Hal Kurtzman (minors),INF,0,0,0,0,0,0,0,0,0,0,0,0,HS,University HS ,Los Angeles,CA
74,1968,8,176,20,Red Sox,Y,Roy Handel (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Columbus HS ,Columbus,GA
75,1968,9,200,20,Red Sox,Y,Edward Baird (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Connecticut ,Storrs,CT
76,1968,10,224,20,Red Sox,N,Michael O'Banion (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Dos Palos HS ,Dos Palos,CA
77,1968,11,248,20,Red Sox,Y,Ben Oglivie (minors),INF,26.4,1754,5913,235,0.273,0.786,0,0,0,0,0,0,HS,Roosevelt HS ,Bronx,NY
78,1968,12,272,20,Red Sox,Y,Robert Overmiller (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Red Lion HS ,Red Lion,PA
79,1968,13,296,20,Red Sox,Y,Frank Mannerino (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Oak Lawn Community HS ,Oak Lawn,IL
80,1968,14,320,20,Red Sox,Y,Terry Williams (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,West HS ,Davenport,IA
81,1968,15,344,20,Red Sox,N,Thomas King (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Acton-Boxboro HS ,West Acton,MA
82,1968,16,368,20,Red Sox,Y,Bill Brown (minors),INF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,California State University Fresno ,Fresno,CA
83,1968,17,392,20,Red Sox,Y,Michael Collins (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,West Covina HS ,West Covina,CA
84,1968,18,416,20,Red Sox,Y,Lonnie Keeter (minors),INF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Douglas HS ,Portland,OR
85,1968,19,440,20,Red Sox,N,Herman Jordan (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Middle Georgia College ,Cochran,GA
86,1968,20,463,20,Red Sox,Y,Jeffrey Grate (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Harvard University ,Cambridge,MA
87,1968,21,485,20,Red Sox,Y,Frank Addonizo (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,St. John's University ,Queens,NY
88,1968,22,507,20,Red Sox,Y,Bill Lee (minors),LHP,21.9,225,197,2,0.208,0.476,416,119,90,3.62,1.36,19,4Yr,University of Southern California ,Los Angeles,CA
