Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,6,6,Cubs,Y,Rick James (minors),RHP,-0.5,3,1,0,0,0,3,0,1,13.5,2.36,0,HS,Coffee HS ,Florence,AL
1,1965,2,26,6,Cubs,Y,Ken Rudolph (minors),C,-0.7,328,743,6,0.213,0.54,0,0,0,0,0,0,4Yr,University of Nebraska at Lincoln ,Lincoln,NE
2,1965,3,46,6,Cubs,Y,Greg Werdick (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Crawford HS ,San Diego,CA
3,1965,4,61,1,Cubs,Y,Ken Holtzman (minors),LHP,27.6,283,607,2,0.163,0.393,451,174,150,3.49,1.29,3,4Yr,University of Illinois at Urbana-Champaign ,Champaign,IL
4,1965,5,81,1,Cubs,Y,Ronald Webb (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Hillcrest HS ,Springfield,MO
5,1965,6,101,1,Cubs,N,Ronald Drake (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,JC,Long Beach City College ,Long Beach,CA
6,1965,7,121,1,Cubs,Y,Garry Jestadt (minors),SS,-0.3,176,454,6,0.26,0.639,0,0,0,0,0,0,HS,Fremont HS ,Sunnyvale,CA
7,1965,8,145,0,Cubs,Y,Richard Johnson (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Mount San Antonio College ,Walnut,CA
8,1965,9,148,0,Cubs,Y,Joe Decker (minors),RHP,6.8,55,46,1,0.174,0.507,152,36,44,4.17,1.52,0,HS,Petaluma HS ,Petaluma,CA
9,1965,10,151,0,Cubs,Y,Duane Rossman (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Washington State University ,Pullman,WA
10,1965,11,205,0,Cubs,N,Tom House (minors),LHP,5.4,186,35,0,0.257,0.563,289,29,23,3.79,1.3,33,HS,Nogales HS ,La Puente,CA
11,1965,12,208,0,Cubs,Y,David Amman (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Cocoa Beach HS ,Cocoa Beach,FL
12,1965,13,265,0,Cubs,N,Darrell Evans (minors),3B,58.8,2687,8973,414,0.248,0.792,0,0,0,0,0,0,HS,Muir HS ,Altadena,CA
13,1965,14,268,0,Cubs,N,John Thomas (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Morehouse HS ,Bastrop,LA
14,1965,15,271,0,Cubs,Y,Henry Knittel (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,College of the Holy Cross ,Worcester,MA
15,1965,16,325,0,Cubs,Y,John Hairston (minors),C,0,3,4,0,0.25,0.5,0,0,0,0,0,0,4Yr,Southern University and A&M College ,Baton Rouge,LA
16,1965,17,328,0,Cubs,Y,Craig Glassco (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Glendora HS ,Glendora,CA
17,1965,18,385,0,Cubs,N,Bob Rossi (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Loyola College in Maryland ,Baltimore,MD
18,1965,19,388,0,Cubs,Y,John Burnett (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Skyline HS ,Oakland,CA
19,1965,20,391,0,Cubs,Y,Jim Williams (minors),OF,0.2,24,39,0,0.282,0.649,0,0,0,0,0,0,HS,Ells HS ,Richmond,CA
20,1965,21,442,0,Cubs,Y,Joseph Doerr (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,West Liberty State College ,West Liberty,WV
21,1965,22,445,0,Cubs,N,Robert Beran (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Bishop Amat Memorial HS ,La Puente,CA
22,1965,23,494,0,Cubs,N,Lamar LaBauve (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Southeastern Louisiana University ,Hammond,LA
23,1965,24,497,0,Cubs,Y,Thomas Finnegan (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Washington and Jefferson College ,Washington,PA
24,1965,25,500,0,Cubs,Y,Larry Lobb (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Bangor HS ,Bangor,ME
25,1965,26,546,0,Cubs,N,Steve Wright (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Andrew Hill HS ,San Jose,CA
26,1965,27,549,0,Cubs,Y,Nathaniel Perkins (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Benedict College ,Columbia,SC
27,1965,28,595,0,Cubs,Y,John Hermanek (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Bradley University ,Peoria,IL
