,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,17,17.0,White Sox,Y,Ken Plesha (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Notre Dame ,South Bend,IN
1,1965,2,37,17.0,White Sox,Y,Frederick Kovner (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Old Dominion University ,Norfolk,VA
2,1965,3,57,17.0,White Sox,Y,Mickey Abarbanel (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Monmouth University ,West Long Branch,NJ
3,1965,4,80,20.0,White Sox,Y,Fred Rath (minors),RHP,-0.3,8.0,3.0,0.0,0.0,0.0,8.0,0.0,2.0,4.7,1.3,0.0,4Yr,Baylor University ,Waco,TX
4,1965,5,100,20.0,White Sox,N,Bill Dobbs (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,John Marshall HS ,Oklahoma City,OK
5,1965,6,120,20.0,White Sox,Y,Emmett Molisee (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Western HS ,Las Vegas,NV
6,1965,7,140,20.0,White Sox,N,Allan Smith (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Manual HS ,Peoria,IL
7,1965,8,170,0.0,White Sox,Y,Ron Markowski (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Central Catholic HS ,Pittsburgh,PA
8,1965,9,181,0.0,White Sox,Y,Richard Newhart (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,San Clemente HS ,San Clemente,CA
9,1965,10,197,0.0,White Sox,Y,Ron Lolich (minors),3B,-1.2,87.0,228.0,4.0,0.211,0.5479999999999999,0.0,0.0,0.0,0.0,0.0,0.0,HS,Central Catholic HS ,Pittsburgh,PA
10,1965,11,230,0.0,White Sox,Y,John Sluka (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Western Michigan University ,Kalamazoo,MI
11,1965,12,241,0.0,White Sox,Y,Robert Bladek (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Rick East HS ,Park Forest,IL
12,1965,13,257,0.0,White Sox,Y,Greg Howell (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Austin Catholic HS ,Detroit,MI
13,1965,14,290,0.0,White Sox,N,Richard Noffke (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Boylan Catholic HS ,Rockford,IL
14,1965,15,301,0.0,White Sox,N,John Montague (minors),RHP,-0.8,66.0,12.0,0.0,0.083,0.298,223.0,24.0,26.0,4.76,1.5,21.0,HS,Newport HS ,Newport News,VA
15,1965,16,317,0.0,White Sox,N,Richard Slicker (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Edison HS ,Tulsa,OK
16,1965,17,350,0.0,White Sox,N,Clifford Foster (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Lansing Sexton HS ,Lansing,MI
17,1965,18,361,0.0,White Sox,N,Randy Carroll (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Georgia Institute of Technology ,Atlanta,GA
18,1965,19,377,0.0,White Sox,N,David Barton (minors),INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
19,1965,20,410,0.0,White Sox,N,Ronald Davini (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Anaheim HS ,Anaheim,CA
20,1965,21,421,0.0,White Sox,Y,Paul Edmondson (minors),RHP,1.6,14.0,29.0,0.0,0.172,0.345,14.0,1.0,6.0,3.7,1.27,0.0,4Yr,California State University Northridge ,Los Angeles,CA
21,1965,22,436,0.0,White Sox,N,Dewey Weaver (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Pasco HS ,Dade City,FL
22,1965,23,465,0.0,White Sox,Y,Thomas Cottrell (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,California State University Northridge ,Los Angeles,CA
23,1965,24,474,0.0,White Sox,N,Robert Hergenrader (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Nebraska at Lincoln ,Lincoln,NE
24,1965,25,489,0.0,White Sox,N,Robert Karlblom (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Augustana College ,Rock Island,IL
25,1965,26,517,0.0,White Sox,Y,Lawrence Lembo (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Manhattan College ,New York,NY
26,1965,27,526,0.0,White Sox,N,Elvatous Peters (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Southern University and A&M College ,Baton Rouge,LA
27,1965,28,541,0.0,White Sox,N,Jim Hogan (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Redlands ,Redlands,CA
28,1965,29,568,0.0,White Sox,Y,Robert Chandler (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Wilson HS ,Easton,PA
29,1965,30,577,0.0,White Sox,Y,James Ackley (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Hayward HS ,Hayward,WI
30,1965,31,590,0.0,White Sox,Y,Danny Lazar (minors),LHP,-0.3,17.0,6.0,0.0,0.0,0.14300000000000002,17.0,0.0,1.0,5.56,1.47,0.0,4Yr,Indiana State University ,Terre Haute,IN
31,1965,33,616,0.0,White Sox,N,Pete Ciganovich (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bowen HS ,Chicago,IL
32,1965,32,625,0.0,White Sox,N,John Miklos (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Valparaiso University ,Valparaiso,IN
33,1965,34,637,0.0,White Sox,Y,Paul Lovrich (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Eisenhower HS ,Blue Island,IL
34,1965,35,656,0.0,White Sox,N,Joe Bloom (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Notre Dame HS ,Sherman Oaks,CA
35,1965,36,663,0.0,White Sox,Y,Leland White (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Hueneme HS ,Oxnard,CA
36,1965,37,675,0.0,White Sox,N,Michael White (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Costa Mesa HS ,Costa Mesa,CA
37,1965,38,689,0.0,White Sox,N,Robert Lawler (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,"State College of Florida, Manatee-Sarasota ",Bradenton,FL
38,1965,39,695,0.0,White Sox,Y,Timothy McLain (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bremen HS ,Midlothian,IL
39,1965,40,705,0.0,White Sox,N,Joe Holliday (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Duncan HS ,Duncan,OK
40,1965,41,715,0.0,White Sox,Y,Kenneth Eby (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Purdue University ,West Lafayette,IN
41,1966,1,18,18.0,White Sox,Y,Carlos May (minors),OF,10.5,1165.0,4120.0,90.0,0.274,0.7490000000000001,0.0,0.0,0.0,0.0,0.0,0.0,HS,Parker HS ,Birmingham,AL
42,1966,2,38,18.0,White Sox,N,Johnny Oates (minors),C,3.3,593.0,1637.0,14.0,0.25,0.622,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Virginia Polytechnic Institute and State University ,Blacksburg,VA
43,1966,3,58,18.0,White Sox,Y,Jim Magnuson (minors),LHP,-0.5,28.0,15.0,0.0,0.0,0.0,36.0,2.0,7.0,4.59,1.51,0.0,4Yr,University of Wisconsin at Oshkosh ,Oshkosh,WI
44,1966,4,78,18.0,White Sox,Y,Karl Simon (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Central HS ,South Bend,IN
45,1966,5,98,18.0,White Sox,Y,Ken Frailing (minors),LHP,3.0,109.0,41.0,0.0,0.22,0.475,116.0,10.0,16.0,3.96,1.53,2.0,HS,Marion HS ,Marion,WI
46,1966,6,118,18.0,White Sox,Y,Gary Lewis (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Colton HS ,Colton,CA
47,1966,7,138,18.0,White Sox,N,David Speas (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Clairemont HS ,San Diego,CA
48,1966,8,158,18.0,White Sox,N,Randy Coley (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Providence Catholic HS ,New Lenox,IL
