,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,16,16.0,Reds,Y,Bernie Carbo (minors),3B,18.4,1010.0,2733.0,96.0,0.264,0.8140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,HS,Livonia HS ,Livonia,MI
1,1965,2,36,16.0,Reds,Y,Johnny Bench (minors),C,75.2,2158.0,7658.0,389.0,0.267,0.8170000000000001,0.0,0.0,0.0,0.0,0.0,0.0,HS,Binger HS ,Binger,OK
2,1965,3,56,16.0,Reds,N,John Olagues (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Tulane University ,New Orleans,LA
3,1965,4,77,17.0,Reds,Y,Carl Richardson (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Taft HS ,Hamilton,OH
4,1965,5,97,17.0,Reds,Y,Louis Keller (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Oconomowoc HS ,Oconomowoc,WI
5,1965,6,117,17.0,Reds,Y,Hal McRae (minors),SS,27.9,2084.0,7218.0,191.0,0.29,0.805,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Florida Agricultural and Mechanical University ,Tallahassee,FL
6,1965,7,137,17.0,Reds,Y,Lester Fulleylove (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Edgewood Regional HS ,Berlin,NJ
7,1965,8,166,0.0,Reds,N,John Morlan (minors),OF,-0.1,49.0,18.0,0.0,0.111,0.3670000000000001,49.0,2.0,5.0,4.16,1.58,0.0,HS,West HS ,Columbus,OH
8,1965,9,177,0.0,Reds,Y,Tommie Murphy (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Lufkin HS ,Lufkin,TX
9,1965,10,219,0.0,Reds,Y,Michael Tyler (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,El Camino HS ,South San Francisco,CA
10,1965,11,226,0.0,Reds,N,James Scheschuk (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Texas at Austin ,Austin,TX
11,1965,12,237,0.0,Reds,N,LaDon Boyd (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Escambia HS ,Pensacola,FL
12,1965,13,286,0.0,Reds,N,Patrick Brown (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Permian HS ,Odessa,TX
13,1965,14,297,0.0,Reds,Y,Jerry Baker (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Elgin Community College ,Elgin,IL
14,1965,15,339,0.0,Reds,Y,Joe Barnes (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Pfeiffer University ,Misenheimer,NC
15,1965,16,346,0.0,Reds,Y,Norman Singleton (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Grand View College ,Des Moines,IA
16,1965,17,357,0.0,Reds,Y,Tom Ford (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Fair Park HS ,Shreveport,LA
17,1965,19,406,0.0,Reds,N,Charles Kline (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Western Michigan University ,Kalamazoo,MI
18,1965,21,417,0.0,Reds,Y,George Nichols (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Parker HS ,Birmingham,AL
19,1965,22,455,0.0,Reds,Y,Alan Baur (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Christian Brothers HS ,Memphis,TN
20,1965,23,462,0.0,Reds,N,Ron Rowell (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Central HS ,Tulsa,OK
21,1965,18,470,0.0,Reds,N,Oscar Brown (minors),OF,-2.0,160.0,316.0,4.0,0.244,0.622,0.0,0.0,0.0,0.0,0.0,0.0,HS,Polytechnic HS ,Long Beach,CA
22,1965,20,514,0.0,Reds,N,William Frost (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of California, Berkeley ",Berkeley,CA
23,1965,24,522,0.0,Reds,Y,Lawrence Holly (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Northeast HS ,St. Petersburg,FL
24,1965,25,559,0.0,Reds,Y,Glenn Flake (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Assumption HS ,East St. Louis,IL
25,1965,26,565,0.0,Reds,N,Paul Reuschel (minors),RHP,2.2,164.0,32.0,0.0,0.063,0.177,198.0,16.0,16.0,4.51,1.46,13.0,HS,Central HS ,Camp Point,IL
26,1965,27,573,0.0,Reds,N,Ken Williams (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,East Lansing HS ,East Lansing,MI
27,1965,28,613,0.0,Reds,Y,Lynn Coleman (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Potosi HS ,Potosi,MO
28,1965,29,621,0.0,Reds,Y,Carl Barnes (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,East Carolina University ,Greenville,NC
29,1965,30,647,0.0,Reds,N,Vic Prather (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Will Rogers HS ,Tulsa,OK
30,1965,31,653,0.0,Reds,Y,Harlan Hinds (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Odessa College ,Odessa,TX
31,1965,32,660,0.0,Reds,N,Larry McWherter (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,El Camino College ,Torrance,CA
32,1966,1,13,13.0,Reds,Y,Gary Nolan (minors),RHP,26.0,247.0,529.0,1.0,0.138,0.371,250.0,110.0,70.0,3.08,1.15,0.0,HS,Oroville HS ,Oroville,CA
