,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,7,7.0,Indians,Y,Ray Fosse (minors),C,12.9,924.0,2957.0,61.0,0.256,0.6729999999999999,0.0,0.0,0.0,0.0,0.0,0.0,HS,Marion HS ,Marion,IL
1,1965,2,27,7.0,Indians,Y,John Sandknop (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Knox County HS ,Edina,MN
2,1965,3,47,7.0,Indians,Y,Ronald Constantino (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Monson HS ,Monson,MA
3,1965,4,69,9.0,Indians,Y,Bill Perry (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Palatka HS ,Palatka,FL
4,1965,5,89,9.0,Indians,N,Fred Kampf (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Shore Regional HS ,Monmouth Beach,NJ
5,1965,6,109,9.0,Indians,N,Phil O'Neil (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,St. Peter's HS ,Worcester,MA
6,1965,7,129,9.0,Indians,Y,John Fouse (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Arizona ,Tucson,AZ
7,1965,8,172,0.0,Indians,Y,Ron Arnold (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,New Mexico State University ,Las Cruces,NM
8,1965,9,173,0.0,Indians,Y,Vic Albury (minors),1B,1.6,3.0,1.0,0.0,0.0,0.0,101.0,18.0,17.0,4.11,1.5,1.0,HS,Key West HS ,Key West,FL
9,1965,10,232,0.0,Indians,N,Greg Washburn (minors),RHP,-0.4,8.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,7.94,2.29,0.0,HS,Coal City HS ,Coal City,IL
10,1965,11,233,0.0,Indians,N,Lou Pieserb (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Brother Rice HS ,Chicago,IL
11,1965,12,292,0.0,Indians,N,Ronnie Matney (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Duncan HS ,Duncan,OK
12,1965,13,293,0.0,Indians,N,David Flettrich (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Tulane University ,New Orleans,LA
13,1965,14,352,0.0,Indians,N,Frank Favia (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,West Leyden HS ,Northlake,IL
14,1965,15,353,0.0,Indians,Y,Harold Joyce (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Kaimuki HS ,Honolulu,HI
15,1965,16,412,0.0,Indians,N,James Baker (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,McKinley HS ,Columbus,OH
16,1965,17,413,0.0,Indians,N,James Goodwin (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Southwest Miami HS ,Miami,FL
17,1965,18,466,0.0,Indians,N,Frank Borgia (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Central HS ,Scranton,PA
18,1965,19,467,0.0,Indians,N,Frederick Kos (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Northeastern University ,Boston,MA
19,1965,20,518,0.0,Indians,Y,Edwin Renfro (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Red Bank HS ,Hixson,TN
20,1965,21,519,0.0,Indians,N,Kenneth Suzawa (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Henry Perrine Baldwin HS ,Wailuku,HI
21,1965,22,569,0.0,Indians,N,Thomas Lundgren (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Forest View HS ,Rolling Meadows,IL
22,1965,23,570,0.0,Indians,N,Charles Bottom (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Lincoln Land Community College ,Springfield,IL
23,1965,24,617,0.0,Indians,N,Tom Schweitzer (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Fairmont State College ,Fairmont,WV
24,1965,25,618,0.0,Indians,N,Howard Arndt (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Republic HS ,Republic,MO
25,1965,26,657,0.0,Indians,N,Harold Burke (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Parsippany HS ,Parsippany-Troy Hills,NJ
26,1965,27,658,0.0,Indians,N,Raymond DeRiggi (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Vailsburg HS ,Newark,NJ
27,1965,28,690,0.0,Indians,N,Thomas Lomack (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Lincoln HS ,Tallahassee,FL
28,1965,29,691,0.0,Indians,N,Dennis Malseed (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,St. James HS ,Chester,PA
29,1965,30,716,0.0,Indians,N,Mark Devitt (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Dartmouth HS ,Dartmouth,MA
30,1965,31,717,0.0,Indians,N,Harry McCarthy (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Huntington HS ,Huntington,WV
