Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,7,7,Indians,Y,Ray Fosse (minors),C,12.9,924,2957,61,0.256,0.673,0,0,0,0,0,0,HS,Marion HS ,Marion,IL
1,1965,2,27,7,Indians,Y,John Sandknop (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Knox County HS ,Edina,MN
2,1965,3,47,7,Indians,Y,Ronald Constantino (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Monson HS ,Monson,MA
3,1965,4,69,9,Indians,Y,Bill Perry (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Palatka HS ,Palatka,FL
4,1965,5,89,9,Indians,N,Fred Kampf (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Shore Regional HS ,Monmouth Beach,NJ
5,1965,6,109,9,Indians,N,Phil O'Neil (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,St. Peter's HS ,Worcester,MA
6,1965,7,129,9,Indians,Y,John Fouse (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Arizona ,Tucson,AZ
7,1965,8,172,0,Indians,Y,Ron Arnold (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,New Mexico State University ,Las Cruces,NM
8,1965,9,173,0,Indians,Y,Vic Albury (minors),1B,1.6,3,1,0,0,0,101,18,17,4.11,1.5,1,HS,Key West HS ,Key West,FL
9,1965,10,232,0,Indians,N,Greg Washburn (minors),RHP,-0.4,8,0,0,0,0,8,0,2,7.94,2.29,0,HS,Coal City HS ,Coal City,IL
10,1965,11,233,0,Indians,N,Lou Pieserb (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Brother Rice HS ,Chicago,IL
11,1965,12,292,0,Indians,N,Ronnie Matney (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Duncan HS ,Duncan,OK
12,1965,13,293,0,Indians,N,David Flettrich (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Tulane University ,New Orleans,LA
13,1965,14,352,0,Indians,N,Frank Favia (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,West Leyden HS ,Northlake,IL
14,1965,15,353,0,Indians,Y,Harold Joyce (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Kaimuki HS ,Honolulu,HI
15,1965,16,412,0,Indians,N,James Baker (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,McKinley HS ,Columbus,OH
16,1965,17,413,0,Indians,N,James Goodwin (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Southwest Miami HS ,Miami,FL
17,1965,18,466,0,Indians,N,Frank Borgia (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Central HS ,Scranton,PA
18,1965,19,467,0,Indians,N,Frederick Kos (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Northeastern University ,Boston,MA
19,1965,20,518,0,Indians,Y,Edwin Renfro (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Red Bank HS ,Hixson,TN
20,1965,21,519,0,Indians,N,Kenneth Suzawa (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Henry Perrine Baldwin HS ,Wailuku,HI
21,1965,22,569,0,Indians,N,Thomas Lundgren (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Forest View HS ,Rolling Meadows,IL
22,1965,23,570,0,Indians,N,Charles Bottom (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,JC,Lincoln Land Community College ,Springfield,IL
23,1965,24,617,0,Indians,N,Tom Schweitzer (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Fairmont State College ,Fairmont,WV
24,1965,25,618,0,Indians,N,Howard Arndt (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Republic HS ,Republic,MO
25,1965,26,657,0,Indians,N,Harold Burke (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Parsippany HS ,Parsippany-Troy Hills,NJ
26,1965,27,658,0,Indians,N,Raymond DeRiggi (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Vailsburg HS ,Newark,NJ
27,1965,28,690,0,Indians,N,Thomas Lomack (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Lincoln HS ,Tallahassee,FL
28,1965,29,691,0,Indians,N,Dennis Malseed (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,St. James HS ,Chester,PA
29,1965,30,716,0,Indians,N,Mark Devitt (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Dartmouth HS ,Dartmouth,MA
30,1965,31,717,0,Indians,N,Harry McCarthy (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Huntington HS ,Huntington,WV
31,1965,32,731,0,Indians,N,Eugene Sidor (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,JC,Nassau Community College ,Garden City,NY
32,1965,33,732,0,Indians,N,Frank Spaziani (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Clark Regional HS ,Clark,NJ
33,1965,34,746,0,Indians,N,Larry Hanson (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Jefferson HS ,Portland,OR
34,1966,1,12,12,Indians,N,John Curtis (minors),LHP,7.8,348,359,0,0.175,0.419,438,89,97,3.96,1.44,11,HS,Smithtown HS ,Nesconset,NY
42,1966,2,32,12,Indians,Y,Billy Lynch (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Paul Blazer HS ,Ashland,KY
43,1966,3,52,12,Indians,Y,Terry Taylor (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Soquel HS ,Soquel,CA
44,1966,4,72,12,Indians,Y,William Kyle (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,HS,University HS ,Los Angeles,CA
45,1966,5,92,12,Indians,Y,Dick Davis (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of North Carolina at Pembroke ,Pembroke,NC
46,1966,6,112,12,Indians,Y,Gary Sprague (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Florida State University ,Tallahassee,FL
47,1966,7,132,12,Indians,N,Harold Harris (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Hewitt-Trussville HS ,Trussville,AL
48,1966,8,152,12,Indians,Y,Stephen Reid (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,DeSales HS ,Geneva,NY
49,1966,9,172,12,Indians,N,Daniel McNulty (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Waterloo HS ,Waterloo,NY
50,1966,10,192,12,Indians,Y,Ollie Coffey (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,East Tech HS ,Cleveland,OH
51,1966,11,212,12,Indians,Y,Clifford Lee (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Campbell HS ,Smyrna,GA
52,1966,12,232,12,Indians,Y,Jack Sexton (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Titusville HS ,Titusville,FL
53,1966,13,252,12,Indians,N,Billy Ray Palmer (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Rice University ,Houston,TX
54,1966,14,272,12,Indians,Y,Russ Nagelson (minors),1B,-0.3,62,76,1,0.211,0.589,0,0,0,0,0,0,4Yr,The Ohio State University ,Columbus,OH
55,1966,15,292,12,Indians,Y,James Wingate (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Trinity University ,San Antonio,TX
56,1966,16,312,12,Indians,Y,Jerry Kremer (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Maryland ,College Park,MD
57,1966,17,332,12,Indians,Y,Ronald Hart (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Frederick HS ,Frederick,MD
58,1966,18,352,12,Indians,N,Michael Hastings (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Ithaca HS ,Ithaca,NY
59,1966,19,372,12,Indians,N,Robert Bossom (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Columbia University ,New York,NY
60,1966,20,392,12,Indians,Y,Jerry Clark (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,Rose HS ,Greenville,NC
61,1966,21,412,12,Indians,N,Richard Holliday (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Westminster College ,New Wilmington,PA
62,1966,22,432,12,Indians,N,Michael Brannan (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Broughton HS ,Raleigh,NC
63,1966,23,452,12,Indians,Y,Bob Biscan (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Morton HS ,Hammond,IN
64,1966,24,472,12,Indians,Y,Larry Edwards (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Erskine College ,Due West,SC
65,1966,25,492,12,Indians,N,Mike Carruthers (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of North Carolina at Pembroke ,Pembroke,NC
