Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1992,1,27,27,Rockies,Y,John Burke (minors),RHP,-0.5,28,21,0,0.19,0.381,28,4,6,6.75,1.83,0,4Yr,University of Florida ,Gainesville,FL
1,1992,2,65,27,Rockies,Y,Mark Thompson (minors),RHP,0,93,104,1,0.154,0.383,94,18,24,5.74,1.68,0,4Yr,University of Kentucky ,Lexington,KY
2,1992,3,95,27,Rockies,Y,Roger Bailey (minors),RHP,5.2,92,97,1,0.206,0.52,92,18,19,4.9,1.55,1,4Yr,Florida State University ,Tallahassee,FL
3,1992,4,123,27,Rockies,Y,Lloyd Peever (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Louisiana State University ,Baton Rouge,LA
4,1992,5,151,27,Rockies,Y,Ryan Freeburg (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Grand Canyon University ,Phoenix,AZ
5,1992,6,179,27,Rockies,Y,Will Scalzitti (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,JC,Miami-Dade College ,Miami,FL
6,1992,7,207,27,Rockies,Y,Jason Bates (minors),SS,-2.6,319,677,12,0.239,0.696,0,0,0,0,0,0,4Yr,University of Arizona ,Tucson,AZ
7,1992,8,235,27,Rockies,Y,Chris Henderson (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Eastern Florida State College ,Cocoa,FL
8,1992,9,263,27,Rockies,Y,Mike Eiffert (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Texas Pan American ,Edinburg,TX
9,1992,10,291,27,Rockies,Y,Garvin Alston (minors),RHP,-0.1,6,1,0,0,0,6,1,0,9,2,0,4Yr,Florida International University ,Miami,FL
10,1992,11,319,27,Rockies,Y,Craig Counsell (minors),SS,22.4,1624,4741,42,0.255,0.686,0,0,0,0,0,0,4Yr,University of Notre Dame ,South Bend,IN
11,1992,12,347,27,Rockies,Y,Jim Hovey (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Indian Hills Community College ,Centerville,IA
12,1992,13,375,27,Rockies,Y,Mark Voisard (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Mount Vernon Nazarene University ,Mount Vernon,OH
13,1992,14,403,27,Rockies,Y,Juan Acevedo (minors),RHP,2.7,258,65,0,0.092,0.255,367,28,40,4.33,1.44,53,JC,Parkland College ,Champaign,IL
14,1992,15,431,27,Rockies,Y,Danny Figueroa (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Gabriela Mistral HS ,San Juan,Puerto
15,1992,16,459,27,Rockies,Y,Greg Boyd (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,"Community College of Baltimore County, Essex Campus ",Essex,MD
16,1992,17,487,27,Rockies,Y,Angel Echevarria (minors),OF,-0.9,328,543,21,0.28,0.798,0,0,0,0,0,0,4Yr,"Rutgers, the State University of New Jersey ",New Brunswick,NJ
17,1992,18,515,27,Rockies,Y,Jason Hutchins (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Texas A&M University ,College Station,TX
18,1992,19,543,27,Rockies,N,Eric Wulf (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Washington State University ,Pullman,WA
19,1992,20,571,27,Rockies,Y,Mike Kotarski (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Duke University ,Durham,NC
20,1992,21,599,27,Rockies,Y,Randy Edwards (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Bishop Amat Memorial HS ,La Puente,CA
21,1992,22,627,27,Rockies,Y,Mike Oakland (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,"California Polytechnic State University, San Luis Obispo ",San Luis Obispo,CA
22,1992,23,655,27,Rockies,Y,Chris Neier (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,California State University Chico ,Chico,CA
23,1992,24,683,27,Rockies,Y,Tom Schmidt (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,JC,Eastern Florida State College ,Cocoa,FL
24,1992,25,711,27,Rockies,Y,Quinton McCracken (minors),2B,0.3,999,2462,21,0.274,0.709,0,0,0,0,0,0,4Yr,Duke University ,Durham,NC
25,1992,26,739,27,Rockies,N,Thomas Waterman (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Saddleback College ,Mission Viejo,CA
26,1992,27,767,27,Rockies,N,Charles Whitehead (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Iowa State University ,Ames,IA
27,1992,28,795,27,Rockies,Y,Mark Strittmatter (minors),C,-0.1,4,4,0,0,0,0,0,0,0,0,0,4Yr,Virginia Commonwealth University ,Richmond,VA
28,1992,29,823,27,Rockies,Y,Keith Krenke (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Minnesota ,Minneapolis,MN
29,1992,30,851,27,Rockies,Y,Rick Hatfield (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Pineville HS ,Wyoming,WV
30,1992,31,879,27,Rockies,Y,Jeff Sobkoviak (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Kankakee Community College ,Kankakee,IL
31,1992,32,907,27,Rockies,Y,Jay Holland (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Hawaii at Manoa ,Honolulu,HI
32,1992,33,935,27,Rockies,Y,Mike Case (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,California State University Long Beach ,Long Beach,CA
33,1992,34,963,27,Rockies,N,Ken Copeland (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Trinidad State Junior College ,Trinidad,CO
34,1992,35,991,27,Rockies,N,Jim Dixon (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Trinidad State Junior College ,Trinidad,CO
35,1992,36,1019,27,Rockies,Y,Tim Scott (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Maine at Orono ,Orono,ME
36,1992,37,1047,27,Rockies,Y,Mike Machado (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Diablo Valley College ,Pleasant Hill,CA
37,1992,38,1075,27,Rockies,Y,Greg Tafoya (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Holbrook HS ,Holbrook,AZ
