,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,13,13,Tigers,Y,Gene Lamont (minors),C,0.2,87,159,4,0.233,0.649,0,0,0,0.0,0.0,0,HS,Hiawatha HS ,Kirkland,IL
1,1965,2,33,13,Tigers,N,Douglas Carson (minors),SS,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Bishop Armstrong HS ,Sacramento,CA
2,1965,3,53,13,Tigers,N,Andy Messersmith (minors),RHP,40.2,347,729,5,0.17,0.451,344,130,99,2.86,1.14,14,4Yr,"University of California, Berkeley ",Berkeley,CA
3,1965,4,71,11,Tigers,N,Bob Reed (minors),RHP,0.7,25,14,0,0.14300000000000002,0.34299999999999997,24,2,4,4.13,1.39,2,4Yr,University of Michigan ,Ann Arbor,MI
4,1965,5,91,11,Tigers,Y,Thomas White (minors),3B,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Paul M. Dorman HS ,Roebuck,SC
5,1965,6,111,11,Tigers,Y,Dennis Grossini (minors),LHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Lompoc HS ,Lompoc,CA
6,1965,7,131,11,Tigers,N,William Bradley (minors),SS,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Palestine HS ,Palestine,TX
7,1965,8,158,0,Tigers,Y,Alex Bike (minors),C,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Notre Dame HS ,Bridgeport,CT
8,1965,9,162,0,Tigers,N,James Young (minors),LHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Cherry Hill HS ,Inkster,MI
9,1965,9,162,0,Tigers,N,James Young (minors),LHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Miami Southridge Senior HS ,Miami,FL
10,1965,10,163,0,Tigers,Y,Gary Taylor (minors),RHP,-0.1,7,1,0,0.0,0.0,7,0,1,5.23,1.55,0,4Yr,Central Michigan University ,Mount Pleasant,MI
11,1965,11,211,0,Tigers,Y,Ronald Kirk (minors),OF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,Bloomsburg University of Pennsylvania ,Bloomsburg,PA
12,1965,12,218,0,Tigers,N,Kristopher Krebs (minors),SS,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Dykes HS ,Atlanta,GA
13,1965,13,222,0,Tigers,N,Dennis Deptula (minors),INF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,University of Michigan ,Ann Arbor,MI
14,1965,14,223,0,Tigers,N,Vincent Bigone (minors),3B,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,St. Ignatius HS ,San Francisco,CA
15,1965,15,278,0,Tigers,Y,Nicholas Ross (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Divine Child HS ,Dearborn,MI
16,1965,16,282,0,Tigers,N,Kenneth Hall (minors),LHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,JC,Nassau Community College ,Garden City,NY
17,1965,17,283,0,Tigers,Y,Shelburn Morton (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Oak Grove HS ,Paragould,AR
18,1965,18,331,0,Tigers,Y,Cornelius Branch (minors),INF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Thomas Jefferson HS ,Elizabeth,NJ
19,1965,19,338,0,Tigers,N,Thomas Kelly (minors),OF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,College of the Holy Cross ,Worcester,MA
20,1965,20,342,0,Tigers,Y,Tom Hamm (minors),OF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,Georgetown University ,Washington,DC
21,1965,21,343,0,Tigers,Y,Darrell Hollar (minors),INF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Lima Senior HS ,Lima,OH
22,1965,22,398,0,Tigers,N,Rick Austin (minors),LHP,0.3,55,19,0,0.105,0.385,89,4,8,4.63,1.61,6,HS,Lakes HS ,Tacoma,WA
23,1965,23,402,0,Tigers,N,Steve Arlin (minors),RHP,0.8,130,230,0,0.139,0.36700000000000005,141,34,67,4.33,1.48,1,4Yr,The Ohio State University ,Columbus,OH
24,1965,24,403,0,Tigers,N,Arnie Chonko (minors),1B,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,The Ohio State University ,Columbus,OH
25,1965,25,448,0,Tigers,Y,Robert Felber (minors),INF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,JC,"Community College of Baltimore County, Catonsville Campus ",Catonsville,MD
26,1965,26,454,0,Tigers,N,Joseph Talbott (minors),1B,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,University of North Carolina at Chapel Hill ,Chapel Hill,NC
27,1965,27,458,0,Tigers,N,Joe Hauptman (minors),C,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Granite City HS ,Granite City,IL
28,1965,28,459,0,Tigers,N,Ray Peters (minors),RHP,-0.5,2,0,0,0.0,0.0,2,0,2,31.5,6.0,0,HS,Nickols HS ,Buffalo,NY
29,1965,29,506,0,Tigers,Y,Milton Bender (minors),INF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Northern HS ,Pontiac,MI
30,1965,30,510,0,Tigers,N,Terry Ley (minors),LHP,-0.3,6,0,0,0.0,0.0,6,0,0,5.0,2.0,0,HS,Madison HS ,Portland,OR
31,1965,31,511,0,Tigers,N,Neil Pittman (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Parkview HS ,Springfield,MO
32,1965,32,552,0,Tigers,N,Edward Staron (minors),OF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,Western Michigan University ,Kalamazoo,MI
33,1965,33,558,0,Tigers,N,Martin Brown (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Edison HS ,Tulsa,OK
34,1965,34,562,0,Tigers,N,Harold White (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,"Rutgers, the State University of New Jersey ",New Brunswick,NJ
35,1965,35,563,0,Tigers,N,Tom Brown (minors),SS,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Jupiter HS ,Jupiter,FL
36,1965,37,610,0,Tigers,Y,Bill Butler (minors),LHP,1.8,79,117,0,0.051,0.16899999999999998,134,23,35,4.21,1.47,1,HS,Herndon HS ,Herndon,VA
37,1965,38,611,0,Tigers,N,Robert Yodice (minors),C,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Lafayette HS ,Brooklyn,NY
38,1965,39,642,0,Tigers,Y,John Huizenga (minors),C,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,Western Michigan University ,Kalamazoo,MI
39,1965,40,646,0,Tigers,N,Craig Bozich (minors),OF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Central HS ,Aurora,CO
40,1965,41,650,0,Tigers,Y,Steven Vanderlip (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,West Ottawa HS ,Holland,MI
41,1965,42,651,0,Tigers,Y,Victor Sorrell (minors),SS,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,North Carolina State University ,Raleigh,NC
42,1965,43,680,0,Tigers,N,Robert Bixler (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,Miami University of Ohio ,Oxford,OH
43,1965,44,684,0,Tigers,Y,Ralph Foytack (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Moscow HS ,Moscow,PA
44,1966,1,14,14,Tigers,N,Rick Konik (minors),1B,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,St. Andrews HS ,Detroit,MI
45,1966,2,34,14,Tigers,N,Scott Fields (minors),LHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Elgin HS ,Marion,OH
46,1966,3,54,14,Tigers,Y,Robert Gilhooley (minors),INF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,University of Michigan ,Ann Arbor,MI
47,1966,4,74,14,Tigers,Y,Les Cain (minors),LHP,2.0,69,137,2,0.153,0.384,68,23,19,3.98,1.49,0,HS,El Cerrito HS ,El Cerrito,CA
48,1966,5,94,14,Tigers,Y,Eugene Spatz (minors),3B,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Alexander HS ,Elmsford,NY
49,1966,6,114,14,Tigers,Y,Robert Welz (minors),1B,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,Harvard University ,Cambridge,MA
50,1966,7,134,14,Tigers,Y,Hagan Andersen (minors),INF,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,University of Massachusetts Amherst ,Amherst,MA
51,1966,8,154,14,Tigers,Y,Michael Irish (minors),C,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Grand Ledge HS ,Grand Ledge,MI
52,1966,9,174,14,Tigers,Y,Daniel Bootcheck (minors),LHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Michigan City HS ,Michigan City,IN
53,1966,10,194,14,Tigers,Y,Brian Cusino (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Monroe Catholic Central HS ,Erie,MI
54,1966,11,214,14,Tigers,N,Bob Kloss (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,St. Ladislaus HS ,Hamtramck,MI
55,1966,12,234,14,Tigers,Y,Chandler Simonds (minors),1B,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4Yr,University of Michigan ,Ann Arbor,MI
56,1966,13,254,14,Tigers,N,Vic Pilar (minors),LHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Thurston HS ,Redford Township,MI
57,1966,14,274,14,Tigers,Y,Herbert Doebler (minors),RHP,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,Utica HS ,Utica,MI
58,1966,15,294,14,Tigers,N,Gary Krupinski (minors),C,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,HS,St. Hedwige HS ,Detroit,MI
