,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1992,1,28,28,Marlins,Y,Charles Johnson (minors),C,22.6,1188.0,3836.0,167.0,0.245,0.762,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Miami ,Coral Gables,FL
1,1992,2,66,28,Marlins,Y,John Lynch (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Stanford University ,Palo Alto,CA
2,1992,3,96,28,Marlins,Y,Rich Ireland (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Crater HS ,Central Point,OR
3,1992,4,124,28,Marlins,Y,Willie Brown (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Florida Agricultural and Mechanical University ,Tallahassee,FL
4,1992,5,152,28,Marlins,Y,Alex Aranzamendi (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
5,1992,6,180,28,Marlins,Y,Pat Leahy (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Notre Dame ,South Bend,IN
6,1992,7,208,28,Marlins,Y,Reynol Mendoza (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of the Incarnate Word ,San Antonio,TX
7,1992,8,236,28,Marlins,Y,Dan Roman (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Brooklyn College, The City University of New York ",Brooklyn,NY
8,1992,9,264,28,Marlins,Y,Scott Samuels (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Arizona State University ,Tempe,AZ
9,1992,10,292,28,Marlins,Y,Chris Sheff (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Pepperdine University ,Malibu,CA
10,1992,11,320,28,Marlins,Y,Tony Torres (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Nevada-Reno ,Reno,NV
11,1992,12,348,28,Marlins,Y,Mike Veneziale (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Camden County College ,Blackwood,NJ
12,1992,13,376,28,Marlins,Y,Jerry Stafford (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,San Diego State University ,San Diego,CA
13,1992,14,404,28,Marlins,Y,Jason Tidwell (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Jacksonville State University ,Jacksonville,AL
14,1992,15,432,28,Marlins,Y,Jim Patterson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,California State University Fresno ,Fresno,CA
15,1992,16,460,28,Marlins,Y,Eddie Christian (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,California State University Long Beach ,Long Beach,CA
16,1992,17,488,28,Marlins,Y,Gavin Baugh (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,College of San Mateo ,San Mateo,CA
17,1992,18,516,28,Marlins,Y,Mark Skeels (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Stanford University ,Palo Alto,CA
