,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,4,4.0,Astros,Y,Alex Barrett (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Atwater HS ,Atwater,CA
1,1965,2,24,4.0,Astros,Y,Keith Lampard (minors),OF,0.3,62.0,84.0,1.0,0.238,0.682,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Oregon ,Eugene,OR
2,1965,3,44,4.0,Astros,Y,James Monin (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Kentucky ,Lexington,KY
3,1965,4,76,16.0,Astros,N,Pat Jacquez (minors),RHP,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.5,3.0,0.0,HS,Amos Alonzo Stagg HS ,Stockton,CA
4,1965,5,96,16.0,Astros,N,Billy Martin (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Colonial Heights HS ,Colonial Heights,VA
5,1965,6,116,16.0,Astros,Y,David Fyfe (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Hillsborough HS ,Tampa,FL
6,1965,7,136,16.0,Astros,Y,Ken Chelini (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Galileo HS ,San Francisco,CA
7,1965,8,142,0.0,Astros,N,Daniel Rudanovich (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Missouri Columbia ,Columbia,MO
8,1965,9,184,0.0,Astros,Y,Larry Hall (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Centreville HS ,Church Hill,MD
9,1965,10,192,0.0,Astros,Y,Danny Walton (minors),OF,-2.1,297.0,779.0,28.0,0.223,0.685,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bishop Amat Memorial HS ,La Puente,CA
10,1965,11,202,0.0,Astros,N,Gary Gentry (minors),RHP,6.1,158.0,285.0,0.0,0.095,0.239,157.0,46.0,49.0,3.56,1.26,2.0,JC,Phoenix College ,Phoenix,AZ
11,1965,12,244,0.0,Astros,Y,Carl Ergenzinger (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Dover HS ,Dover,DE
12,1965,13,252,0.0,Astros,Y,Jerry Causey (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Denver ,Denver,CO
13,1965,14,262,0.0,Astros,Y,Richard Perini (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,California State University Fresno ,Fresno,CA
14,1965,15,304,0.0,Astros,N,Bill Seinsoth (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Arcadia HS ,Arcadia,CA
15,1965,16,312,0.0,Astros,N,William Tsoukalas (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Lincoln HS ,Seattle,WA
16,1965,17,322,0.0,Astros,N,James Armstrong (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Arizona State University ,Tempe,AZ
17,1965,18,364,0.0,Astros,N,Tom Murphy (minors),RHP,8.5,176.0,289.0,1.0,0.145,0.361,439.0,68.0,101.0,3.78,1.33,59.0,4Yr,Ohio University ,Athens,OH
18,1965,19,372,0.0,Astros,N,John Hurst (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Live Oak HS ,Live Oak,FL
19,1965,20,382,0.0,Astros,N,Sonny Jackson (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Roxton HS ,Honey Grove,TX
20,1965,21,424,0.0,Astros,Y,David Anderson (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Western Michigan University ,Kalamazoo,MI
21,1965,22,431,0.0,Astros,Y,Joseph Vari (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,William Penn HS ,New Castle,DE
22,1965,23,440,0.0,Astros,Y,John Francis (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Bakersfield College ,Bakersfield,CA
23,1965,24,477,0.0,Astros,N,Joe Borowy (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
24,1965,25,484,0.0,Astros,N,Buzz Stephen (minors),RHP,-0.2,2.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,4.76,1.59,0.0,4Yr,California State University Fresno ,Fresno,CA
25,1965,26,492,0.0,Astros,N,Rusty Adkins (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Clemson University ,Clemson,SC
26,1965,27,529,0.0,Astros,N,Michael Willis (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Alameda HS ,Denver,CO
27,1965,28,536,0.0,Astros,N,Steve Barrett (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Artesia HS ,Artesia,NM
28,1965,29,544,0.0,Astros,N,Gary Hughes (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Monterey HS ,Lubbock,TX
29,1965,30,580,0.0,Astros,N,Paul Suchow (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,York Community HS ,Elmhurst,IL
30,1965,31,587,0.0,Astros,N,Berry Cohen (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Senn HS ,Chicago,IL
31,1965,32,593,0.0,Astros,N,Pascal Renn (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Wake Forest University ,Winston-Salem,NC
32,1965,33,627,0.0,Astros,Y,Eugene Garritt (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Delaware ,Newark,DE
33,1965,34,634,0.0,Astros,N,Robert Yingling (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,St. Joseph HS ,Brooklyn,NY
34,1965,35,640,0.0,Astros,Y,Ralph Barrier (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Hillsdale HS ,Hillsdale,VA
35,1965,36,665,0.0,Astros,N,Jerry DaVanon (minors),OF,2.0,262.0,499.0,3.0,0.234,0.6459999999999999,0.0,0.0,0.0,0.0,0.0,0.0,JC,San Diego Mesa College ,San Diego,CA
36,1965,37,672,0.0,Astros,Y,Louis McKown (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Wichita Falls HS ,Wichita Falls,TX
37,1965,38,678,0.0,Astros,Y,Stephen Molberg (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Pampa HS ,Pampa,TX
38,1965,39,697,0.0,Astros,N,Paul Alderete (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Los Angeles Pierce College ,Woodland Hills,CA
39,1965,40,703,0.0,Astros,N,Doug Parsons (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bishop Armstrong HS ,Sacramento,CA
40,1965,41,708,0.0,Astros,Y,Wayne Miller (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Lambuth University ,Jackson,TN
41,1965,42,719,0.0,Astros,Y,Don Sessions (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Colorado ,Boulder,CO
42,1965,43,723,0.0,Astros,N,Gary Butcher (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Los Angeles Harbor College ,Wilmington,CA
43,1965,44,726,0.0,Astros,N,Arthur Gainous (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Moore HS ,Waco,TX
44,1965,45,734,0.0,Astros,Y,Edward Earlywine (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of New Mexico ,Albuquerque,NM
45,1965,46,738,0.0,Astros,N,Mel Behney (minors),LHP,-0.4,5.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,4.5,2.3,0.0,HS,Verona HS ,Verona,NJ
46,1965,47,741,0.0,Astros,Y,James Goings (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Whitehaven HS ,Memphis,TN
47,1965,48,748,0.0,Astros,N,Patrick Kendig (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,South Hunterdon HS ,Ringoes,NJ
48,1965,49,752,0.0,Astros,Y,Harry Mohr (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Colorado ,Boulder,CO
49,1965,50,755,0.0,Astros,Y,Robert Grzymala (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,St. Mary's HS ,East Northport,NY
50,1965,51,761,0.0,Astros,Y,Alfred Pettes (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Las Cruces HS ,Las Cruces,NM
51,1965,52,765,0.0,Astros,N,Scott Long (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Auburn University ,Auburn,AL
52,1965,53,768,0.0,Astros,Y,Henry Boykin (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Phillips HS ,Phillips,TX
53,1965,54,774,0.0,Astros,N,Lionel Jones (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Southern University and A&M College ,Baton Rouge,LA
54,1965,55,778,0.0,Astros,Y,Gary Fields (minors),INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Louisiana at Monroe ,Monroe,LA
55,1965,56,781,0.0,Astros,N,Rich Nye (minors),LHP,1.8,117.0,158.0,0.0,0.19,0.424,113.0,26.0,31.0,3.71,1.28,4.0,4Yr,"University of California, Berkeley ",Berkeley,CA
56,1965,57,787,0.0,Astros,N,Richard Bechtel (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Rider University ,Lawrenceville,NJ
57,1965,58,791,0.0,Astros,N,Jerry Day (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Midwest City HS ,Midwest City,OK
58,1965,59,793,0.0,Astros,N,Roy Myers (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Overton HS ,Memphis,TN
59,1965,60,798,0.0,Astros,N,Jon Ives (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Berner HS ,Massapequa,NY
60,1965,61,801,0.0,Astros,N,Jan Adelman (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Mississippi ,Oxford,MS
61,1965,62,803,0.0,Astros,N,Billy Harris (minors),SS,0.5,43.0,101.0,0.0,0.218,0.5720000000000001,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of North Carolina at Wilmington ,Wilmington,NC
