,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1968,4,84,24,Royals,Y,Kenneth O'Donnell (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Neptune HS ,Neptune,NJ
1,1968,5,108,24,Royals,Y,John Nelson (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Duarte HS ,Duarte,CA
2,1968,6,132,24,Royals,Y,Mark Tanner (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Neshannock HS ,New Castle,PA
3,1968,7,156,24,Royals,Y,Lance Clemons (minors),LHP,-0.7,13.0,8.0,1.0,0.25,1.208,19.0,2.0,1.0,6.06,1.77,0.0,4Yr,West Chester University of Pennsylvania ,West Chester,PA
4,1968,8,180,24,Royals,Y,Clark Ullom (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Shawnee Mission South HS ,Overland Park,KS
5,1968,9,204,24,Royals,Y,Monty Montgomery (minors),RHP,1.4,12.0,24.0,0.0,0.125,0.359,12.0,6.0,3.0,2.78,1.17,0.0,4Yr,Pfeiffer University ,Misenheimer,NC
6,1968,10,228,24,Royals,Y,Bob Lawson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Frank W. Cox HS ,Virginia Beach,VA
7,1968,11,252,24,Royals,Y,Robert Nelson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Roosevelt HS ,Seattle,WA
8,1968,12,276,24,Royals,Y,Cornelius Drew (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Dendron HS ,Dendron,VA
9,1968,13,300,24,Royals,Y,Jim Hannah (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Washington State University ,Pullman,WA
