,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,8,8.0,Dodgers,Y,John Wyatt (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bakersfield HS ,Bakersfield,CA
1,1965,2,28,8.0,Dodgers,Y,Alan Foster (minors),RHP,5.0,225.0,295.0,0.0,0.11900000000000001,0.28800000000000003,217.0,48.0,63.0,3.74,1.34,0.0,HS,Los Altos HS ,Hacienda Heights,CA
2,1965,3,48,8.0,Dodgers,Y,Michael Criscione (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Syracuse University ,Syracuse,NY
3,1965,4,70,10.0,Dodgers,Y,George Mercado (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bishop Dubois HS ,New York,NY
4,1965,5,90,10.0,Dodgers,Y,John Radosevich (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,West Virginia University ,Morgantown,WV
5,1965,6,110,10.0,Dodgers,N,Peter Barnes (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Southern University and A&M College ,Baton Rouge,LA
6,1965,7,130,10.0,Dodgers,Y,Larry Griffith (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Anadarko HS ,Anadarko,OK
7,1965,8,149,0.0,Dodgers,Y,James Johnson (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Las Vegas HS ,Las Vegas,NV
8,1965,9,183,0.0,Dodgers,N,Paul Dennenbaum (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Syracuse University ,Syracuse,NY
9,1965,10,193,0.0,Dodgers,N,Tom Seaver (minors),RHP,110.1,582.0,1315.0,12.0,0.154,0.429,656.0,311.0,205.0,2.86,1.12,1.0,4Yr,University of Southern California ,Los Angeles,CA
10,1965,11,209,0.0,Dodgers,Y,Joseph Austin (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Southern California ,Los Angeles,CA
11,1965,12,243,0.0,Dodgers,N,Richard Binder (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Waterloo HS ,Waterloo,IL
12,1965,13,253,0.0,Dodgers,N,Terrance Derringer (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Southwest Miami HS ,Miami,FL
