,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1968,4,82,22,Brewers,Y,Marty West (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Rock Hill HS ,Rock Hill,SC
1,1968,5,106,22,Brewers,Y,Greg Brosterhous (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Klamath Union HS ,Klamath Falls,OR
2,1968,6,130,22,Brewers,Y,Roger McSwain (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Crest HS ,Shelby,NC
3,1968,7,154,22,Brewers,Y,Bill Parsons (minors),RHP,1.2,69.0,139.0,1.0,0.165,0.44,93.0,29.0,36.0,3.89,1.35,0.0,JC,Riverside Community College ,Riverside,CA
4,1968,8,178,22,Brewers,Y,Tom Kelly (minors),OF,-0.5,49.0,127.0,1.0,0.181,0.506,0.0,0.0,0.0,0.0,0.0,0.0,HS,St. Mary's HS ,South Amboy,NJ
5,1968,9,202,22,Brewers,Y,Milton Jordan (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Lanier HS ,Macon,GA
6,1968,10,226,22,Brewers,Y,Larry Pickett (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Chaffey HS ,Ontario,CA
7,1968,11,250,22,Brewers,Y,Frank Kimball (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Trinity University ,San Antonio,TX
8,1968,12,274,22,Brewers,Y,Mike Baldwin (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Sacramento City College ,Sacramento,CA
9,1968,13,298,22,Brewers,Y,Ronald Slingerman (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,James Madison HS ,Vienna,VA
10,1968,14,323,23,Brewers,Y,Willie Laughridge (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Rock Hill HS ,Rock Hill,SC
11,1968,15,346,22,Brewers,Y,Phillip Basler (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Truman HS ,Independence,MO
12,1968,16,370,22,Brewers,Y,Roger Sizoo (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Citrus College ,Glendora,CA
13,1968,17,394,22,Brewers,Y,Michael Staffieri (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Sunny Hills HS ,Fullerton,CA
14,1968,18,418,22,Brewers,Y,Jim Silvey (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Ritenour HS ,St. Louis,MO
15,1968,19,441,21,Brewers,Y,Wilbur Howard (minors),OF,-0.4,466.0,1068.0,6.0,0.25,0.605,0.0,0.0,0.0,0.0,0.0,0.0,HS,Holbrook HS ,Lowell,NC
16,1968,20,464,21,Brewers,Y,Henry Talbot (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
17,1968,21,486,21,Brewers,Y,Gary Upton (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Bradley University ,Peoria,IL
18,1968,22,508,21,Brewers,Y,Wayne Sullivan (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Belmont Abbey College ,Belmont,NC
19,1968,23,530,21,Brewers,Y,Dario Pini (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Sequoia HS ,Redwood City,CA
20,1968,24,552,21,Brewers,Y,Nelson Gibson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Clemson University ,Clemson,SC
21,1968,25,574,21,Brewers,Y,Larry Angell (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Shoreline HS ,Shoreline,WA
22,1968,26,596,21,Brewers,Y,Ronald Kelam (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Southwest HS ,St. Louis,MO
23,1968,27,618,21,Brewers,Y,Mitchell Laird (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Woodward HS ,Woodward,OK
24,1968,28,640,21,Brewers,Y,Perry Allen (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Sulphur HS ,Sulphur,OK
25,1968,29,662,21,Brewers,Y,Steve Downs (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Taft HS ,Chicago,IL
26,1968,30,684,21,Brewers,Y,Barry Herron (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Kansas State University ,Manhattan,KS
27,1968,31,705,20,Brewers,Y,Wayne Vincent (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Florida State University ,Tallahassee,FL
28,1968,32,723,17,Brewers,Y,Larry Nero (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
29,1969,1,21,21,Pilots,Y,Gorman Thomas (minors),SS,19.8,1436.0,4677.0,268.0,0.225,0.772,0.0,0.0,0.0,0.0,0.0,0.0,HS,James Island HS ,Charleston,SC
30,1969,2,45,21,Pilots,Y,Jerry Bell (minors),1B,2.4,33.0,14.0,0.0,0.071,0.14300000000000002,69.0,17.0,11.0,3.28,1.33,1.0,HS,Jesup HS ,Jesup,GA
31,1969,4,93,21,Pilots,Y,Stephen Harvey (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Ingraham HS ,Seattle,WA
32,1969,5,117,21,Pilots,Y,Gary Martz (minors),OF,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,West Valley HS ,Spokane,WA
33,1969,6,141,21,Pilots,N,Larry Hollyfield (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Compton HS ,Compton,CA
34,1969,7,165,21,Pilots,Y,Rick Auerbach (minors),RHP,0.9,624.0,1407.0,9.0,0.22,0.5720000000000001,0.0,0.0,0.0,0.0,0.0,0.0,HS,Estancia HS ,Costa Mesa,CA
35,1969,8,189,21,Pilots,N,Doug Bird (minors),SS,9.0,85.0,82.0,0.0,0.134,0.301,432.0,73.0,60.0,3.99,1.29,60.0,HS,DuPont Manual HS ,Louisville,KY
36,1969,9,213,21,Pilots,N,Duane Kuiper (minors),C,4.2,1057.0,3379.0,1.0,0.271,0.6409999999999999,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Western Kentucky University ,Bowling Green,KY
37,1969,10,237,21,Pilots,N,Gary King (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Clay HS ,South Bend,IN
38,1969,11,261,21,Pilots,N,James Kinsley (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Herricks HS ,Williston Park,NY
39,1969,12,285,21,Pilots,Y,Earl Gilbert (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Pascagoula HS ,Pascagoula,MS
40,1969,13,309,21,Pilots,N,Dwane Doel (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Plantation HS ,Plantation,FL
41,1969,14,333,21,Pilots,Y,Robert Green (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Boston College ,Chestnut Hill,MA
42,1969,15,357,21,Pilots,Y,Jim Slaton (minors),RHP,17.3,38.0,57.0,0.0,0.105,0.269,496.0,151.0,158.0,4.03,1.41,14.0,JC,Antelope Valley College ,Lancaster,CA
43,1969,16,381,21,Pilots,N,Jeffrey Ryser (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bellaire HS ,Bellaire,TX
