Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,9,9,Twins,N,Eddie Leon (minors),SS,-1.1,601,1862,24,0.236,0.609,0,0,0,0,0,0,4Yr,University of Arizona ,Tucson,AZ
1,1965,2,29,9,Twins,N,Del Unser (minors),OF,16.8,1799,5215,87,0.258,0.677,0,0,0,0,0,0,4Yr,Mississippi State University ,Mississippi State,MS
2,1965,3,49,9,Twins,N,John Dow (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Bemidji HS ,Bemidji,MN
3,1965,4,74,14,Twins,Y,Graig Nettles (minors),3B,68,2700,8986,390,0.248,0.75,0,0,0,0,0,0,4Yr,San Diego State University ,San Diego,CA
4,1965,5,94,14,Twins,Y,Neil McPhee (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Northeastern University ,Boston,MA
5,1965,6,114,14,Twins,Y,Terry Graham (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Carson City HS ,Carson City,NV
6,1965,7,134,14,Twins,Y,Mickey Johnston (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Drewry Mason HS ,Ridgeway,VA
7,1965,8,143,0,Twins,Y,Ron Keller (minors),RHP,0.1,11,2,0,0,0,9,0,1,3.38,1.41,0,4Yr,Indiana University-Bloomington ,Bloomington,IN
8,1965,9,147,0,Twins,N,William Drummond (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Buena Vista University ,Storm Lake,IA
9,1965,10,150,0,Twins,Y,Jon Johnson (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Americus HS ,Americus,GA
10,1965,11,152,0,Twins,Y,John Healy (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Lane Tech ,Chicago,IL
11,1965,12,156,0,Twins,N,Thomas Burgess (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Phoenix College ,Phoenix,AZ
12,1965,13,203,0,Twins,N,John Palmer (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Cretin HS ,St. Paul,MN
13,1965,14,206,0,Twins,N,William Holt (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Campbell HS ,Brookneal,VA
14,1965,15,210,0,Twins,N,Paul Coleman (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,"California Polytechnic State University, Pomona ",Pomona,CA
15,1965,16,212,0,Twins,N,John Herbst (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Southern California ,Los Angeles,CA
16,1965,17,216,0,Twins,Y,Al Nordberg (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Massachusetts Amherst ,Amherst,MA
17,1965,18,263,0,Twins,N,Jim Vopicka (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Illinois at Urbana-Champaign ,Champaign,IL
18,1965,19,266,0,Twins,N,Fred Mazurek (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Pittsburgh ,Pittsburgh,PA
19,1965,20,270,0,Twins,N,Ronald Van Dyke (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Hilltop HS ,Chula Vista,CA
20,1965,21,272,0,Twins,Y,Louis Smith (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,"California Polytechnic State University, Pomona ",Pomona,CA
21,1965,22,276,0,Twins,Y,Gary Finch (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Memorial HS ,Eau Claire,WI
22,1965,23,323,0,Twins,N,Stump Merrill (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Maine at Orono ,Orono,ME
23,1965,24,326,0,Twins,Y,Joseph Racer (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Madison HS ,Aroda,VA
24,1965,25,330,0,Twins,N,Stephen Waters (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Whittier College ,Whittier,CA
25,1965,26,332,0,Twins,Y,James Mack (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Cicero HS ,Cicero,IL
