Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,2,2,Mets,Y,Les Rohr (minors),LHP,-0.3,6,6,0,0,0.143,6,2,3,3.7,1.81,0,HS,Billings West HS ,Billings,MT
1,1965,2,22,2,Mets,Y,Raldolph Kohn (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Greenville HS ,Greenville,SC
2,1965,3,42,2,Mets,Y,Joe Moock (minors),SS,0.1,13,40,0,0.225,0.5,0,0,0,0,0,0,4Yr,Louisiana State University ,Baton Rouge,LA
3,1965,4,66,6,Mets,Y,Ken Boswell (minors),2B,5.5,930,2517,31,0.248,0.65,0,0,0,0,0,0,4Yr,Sam Houston State University ,Huntsville,TX
4,1965,5,86,6,Mets,N,Doug Britelle (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Massapequa HS ,Massapequa,NY
5,1965,6,106,6,Mets,Y,Harold Roberson (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Central Michigan University ,Mount Pleasant,MI
6,1965,7,126,6,Mets,Y,Michael McClure (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Texas A&M University ,College Station,TX
7,1965,8,175,0,Mets,Y,Roger Harrington (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Fremont HS ,Sunnyvale,CA
8,1965,9,185,0,Mets,Y,Louis Williams (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Patterson HS ,Baltimore,MD
9,1965,10,235,0,Mets,N,Roger Stevens (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,JC,Pasadena City College ,Pasadena,CA
10,1965,11,245,0,Mets,Y,Jim McAndrew (minors),RHP,6,162,201,0,0.1,0.314,161,37,53,3.65,1.2,4,4Yr,University of Iowa ,Iowa City,IA
11,1965,12,295,0,Mets,Y,Nolan Ryan (minors),RHP,81.8,427,852,2,0.11,0.282,807,324,292,3.19,1.25,3,HS,Alvin HS ,Alvin,TX
12,1965,13,305,0,Mets,Y,David Hayes (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Balboa HS ,San Francisco,CA
13,1965,14,355,0,Mets,Y,Gary Burnett (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,East Central University ,Ada,OK
14,1965,15,365,0,Mets,Y,Jack Stroud (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Missouri Columbia ,Columbia,MO
15,1965,16,415,0,Mets,N,Wayne Drier (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Billings HS ,Billings,MT
16,1965,18,425,0,Mets,Y,Carl Nicholsen (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,JC,Columbia Basin College ,Pasco,WA
17,1965,17,469,0,Mets,N,John Ferguson (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Union HS ,DeSoto,GA
18,1965,19,478,0,Mets,N,Kenneth Brownell (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Watsonville HS ,Watsonville,CA
19,1965,20,521,0,Mets,N,Herb Hofvendahl (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Miramonte HS ,Orinda,CA
20,1965,21,530,0,Mets,Y,Kenneth Williamson (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Orange HS ,Orange,VA
21,1965,22,572,0,Mets,N,John Sauerbier (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,William Chrisman HS ,Independence,MO
22,1965,23,581,0,Mets,N,Al Thomas (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Narbonne HS ,Harbor City,CA
23,1965,24,620,0,Mets,Y,Steve Renko (minors),1B,23.7,290,531,6,0.215,0.536,451,134,146,3.99,1.38,6,4Yr,University of Kansas ,Lawrence,KS
