,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,1,1.0,Athletics,Y,Rick Monday (minors),OF,33.1,1986.0,6136.0,241.0,0.264,0.804,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Arizona State University ,Tempe,AZ
1,1965,2,21,1.0,Athletics,Y,Joe Keough (minors),1B,0.3,332.0,863.0,9.0,0.246,0.636,0.0,0.0,0.0,0.0,0.0,0.0,JC,Mount San Antonio College ,Walnut,CA
2,1965,3,41,1.0,Athletics,N,Bob Stinson (minors),OF,4.3,652.0,1634.0,33.0,0.25,0.693,0.0,0.0,0.0,0.0,0.0,0.0,HS,Miami Senior HS ,Miami,FL
3,1965,4,79,19.0,Athletics,Y,Pete Koegel (minors),OF,-0.9,62.0,86.0,1.0,0.174,0.512,0.0,0.0,0.0,0.0,0.0,0.0,HS,Seaford HS ,Seaford,NY
4,1965,5,99,19.0,Athletics,Y,Richard Suggs (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,William S. Hart HS ,Santa Clarita,CA
5,1965,6,119,19.0,Athletics,Y,Sal Bando (minors),3B,61.5,2019.0,7060.0,242.0,0.254,0.76,1.0,0.0,0.0,6.0,1.0,0.0,4Yr,Arizona State University ,Tempe,AZ
6,1965,7,139,19.0,Athletics,N,Scott Reid (minors),OF,-0.3,38.0,68.0,0.0,0.147,0.487,0.0,0.0,0.0,0.0,0.0,0.0,JC,Cerritos College ,Norwalk,CA
7,1965,8,160,0.0,Athletics,N,Frank Riggins (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Centralia HS ,Centralia,KS
8,1965,9,161,0.0,Athletics,N,Donald Lando (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
9,1965,10,186,0.0,Athletics,Y,George Lauzerique (minors),RHP,-0.5,34.0,33.0,1.0,0.121,0.359,34.0,4.0,8.0,5.0,1.39,0.0,HS,George Washington HS ,New York,NY
10,1965,11,196,0.0,Athletics,Y,John Dunn (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bryant HS ,Astoria,NY
11,1965,12,220,0.0,Athletics,Y,Donnie Weeks (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Minor HS ,Birmingham,AL
12,1965,13,221,0.0,Athletics,N,Terry L'Ange (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Missouri Columbia ,Columbia,MO
13,1965,14,246,0.0,Athletics,Y,Craig Gambs (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Richmond HS ,Richmond,CA
14,1965,15,256,0.0,Athletics,Y,Bobby Brooks (minors),OF,1.0,55.0,143.0,5.0,0.231,0.74,0.0,0.0,0.0,0.0,0.0,0.0,JC,Los Angeles Harbor College ,Wilmington,CA
15,1965,16,280,0.0,Athletics,N,John Thomas (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Westmont College ,Santa Barbara,CA
16,1965,17,281,0.0,Athletics,Y,Donald Arp (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Berry College ,Mount Berry,GA
17,1965,18,306,0.0,Athletics,Y,Larry Vlasin (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Madrid HS ,Madrid,NE
18,1965,19,316,0.0,Athletics,N,Jerry Burgess (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,North Tonawanda HS ,North Tonawanda,NY
19,1965,20,340,0.0,Athletics,Y,Gene Tenace (minors),SS,46.8,1555.0,4390.0,201.0,0.241,0.8170000000000001,0.0,0.0,0.0,0.0,0.0,0.0,HS,Valley HS ,Lucasville,OH
20,1965,21,341,0.0,Athletics,Y,Jim Buker (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Weymouth HS ,Weymouth,MA
21,1965,22,366,0.0,Athletics,Y,George Strode (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Missouri Columbia ,Columbia,MO
22,1965,23,376,0.0,Athletics,N,Troy Garey (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bullard HS ,Fresno,CA
23,1965,24,400,0.0,Athletics,Y,Pete Britton (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Virginia ,Charlottesville,VA
24,1965,25,401,0.0,Athletics,N,Brandt Jackson (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Buena HS ,Ventura,CA
25,1965,26,426,0.0,Athletics,Y,James Blakeney (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,William Carey College ,Hattiesburg,MS
26,1965,27,435,0.0,Athletics,N,Stephen Nelson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Natick HS ,Natick,MA
27,1965,28,456,0.0,Athletics,N,Greg Garrett (minors),LHP,2.0,34.0,18.0,0.0,0.111,0.269,34.0,5.0,7.0,2.48,1.31,0.0,HS,William S. Hart HS ,Santa Clarita,CA
28,1965,29,457,0.0,Athletics,N,Darryl Hester (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Byng HS ,Ada,OK
29,1965,30,479,0.0,Athletics,Y,James Gibney (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Susquehanna University ,Selinsgrove,PA
30,1965,31,488,0.0,Athletics,N,Roger Jackson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,North Kansas City HS ,Kansas City,MO
31,1965,32,508,0.0,Athletics,N,Jack Creel (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Phillips HS ,Birmingham,AL
32,1965,33,509,0.0,Athletics,N,Pete Middlekauff (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Stanford University ,Palo Alto,CA
33,1965,34,531,0.0,Athletics,N,Bob Biletnikoff (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Miami ,Coral Gables,FL
34,1965,35,540,0.0,Athletics,N,Gary Shepard (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Duffy HS ,Niagara Falls,NY
35,1965,36,560,0.0,Athletics,N,Ronald Pietila (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Sweetwater HS ,National City,CA
36,1965,37,561,0.0,Athletics,N,Mike Koritko (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Notre Dame HS ,Bridgeport,CT
37,1965,38,582,0.0,Athletics,N,Charles Casey (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Florida ,Gainesville,FL
38,1965,39,589,0.0,Athletics,Y,David Sellers (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
39,1965,40,608,0.0,Athletics,N,Jeff Herter (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
40,1965,41,609,0.0,Athletics,Y,John Fleischaur (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
41,1965,42,629,0.0,Athletics,Y,Victor Majewski (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Villanova University ,Villanova,PA
42,1965,43,636,0.0,Athletics,Y,Gene Barisano (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Ben Franklin HS ,Manhattan,NY
43,1965,44,648,0.0,Athletics,N,Gary Avery (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Fremont HS ,Los Angeles,CA
44,1965,45,649,0.0,Athletics,Y,Jimmy Watts (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Howard University ,Washington,DC
