,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,18,18.0,Phillies,N,Mike Adamson (minors),RHP,-0.9,11.0,6.0,0.0,0.333,1.0,11.0,0.0,4.0,7.46,1.97,0.0,HS,Point Loma HS ,San Diego,CA
1,1965,2,38,18.0,Phillies,Y,Larry Hisle (minors),OF,25.0,1197.0,4205.0,166.0,0.273,0.799,0.0,0.0,0.0,0.0,0.0,0.0,HS,Portsmouth HS ,Portsmouth,OH
2,1965,3,58,18.0,Phillies,Y,Bill Champion (minors),RHP,-1.1,101.0,99.0,1.0,0.141,0.35,202.0,34.0,50.0,4.69,1.53,2.0,HS,Shelby HS ,Shelby,NC
3,1965,4,65,5.0,Phillies,Y,John Parker (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Davie County HS ,Mocksville,NC
4,1965,5,85,5.0,Phillies,Y,Terry Harmon (minors),SS,1.9,547.0,1125.0,4.0,0.233,0.604,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Ohio University ,Athens,OH
5,1965,6,105,5.0,Phillies,N,Bob Chlupsa (minors),RHP,-0.5,15.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,8.84,2.07,0.0,4Yr,Manhattan College ,New York,NY
6,1965,7,125,5.0,Phillies,N,Steve Sharp (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Washington HS ,Kansas City,KS
7,1965,8,141,0.0,Phillies,Y,Delbert Wilber (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Purdue University ,West Lafayette,IN
8,1965,9,144,0.0,Phillies,N,Orville Hollrah (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Missouri Columbia ,Columbia,MO
9,1965,10,154,0.0,Phillies,N,Ken Szotkiewicz (minors),2B,-0.1,47.0,84.0,3.0,0.107,0.443,0.0,0.0,0.0,0.0,0.0,0.0,HS,Salesianum HS ,Wilmington,DE
10,1965,11,167,0.0,Phillies,Y,Thomas Capowski (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Fordham University ,New York,NY
11,1965,12,176,0.0,Phillies,N,Donald Cook (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Long Island University, Brooklyn Campus ",Brooklyn,NY
12,1965,13,201,0.0,Phillies,N,Dick Mills (minors),RHP,-0.1,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.45,2.45,0.0,4Yr,Parsons College ,Fairfield,IA
13,1965,14,204,0.0,Phillies,Y,Richard Trolliet (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
14,1965,15,214,0.0,Phillies,Y,Thomas Chapman (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Clemson University ,Clemson,SC
15,1965,16,227,0.0,Phillies,Y,Gordon Knutson (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
16,1965,17,236,0.0,Phillies,Y,Gilbert Barnett (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,California University of Pennsylvania ,California,PA
17,1965,18,261,0.0,Phillies,N,Edward Cott (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Nickols HS ,Buffalo,NY
18,1965,19,264,0.0,Phillies,Y,Dan Crothers (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Jackson HS ,Jackson,OH
19,1965,20,274,0.0,Phillies,Y,Terry Craven (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,California State University Northridge ,Los Angeles,CA
20,1965,21,287,0.0,Phillies,N,James Cain (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Madison Central HS ,Richmond,KY
21,1965,22,296,0.0,Phillies,Y,Charles Brown (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Brown HS ,Atlanta,GA
22,1965,23,321,0.0,Phillies,N,Jan Fait (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,New Philadelphia HS ,New Philadelphia,OH
23,1965,24,324,0.0,Phillies,Y,Michael Ennis (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Wicomico HS ,Salisbury,MD
24,1965,25,334,0.0,Phillies,Y,Michael Mathias (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Hunter College, The City University of New York ",New York,NY
25,1965,26,347,0.0,Phillies,Y,George Fowlkes (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"California Polytechnic State University, Pomona ",Pomona,CA
26,1965,27,356,0.0,Phillies,N,Leonard Zandy (minors),P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Fordham University ,New York,NY
27,1965,28,381,0.0,Phillies,N,Charles Shreve (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Cathedral Prep HS ,Erie,PA
28,1965,29,384,0.0,Phillies,Y,Donald Novick (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,New York University ,New York,NY
29,1965,30,394,0.0,Phillies,Y,Terry Ricketts (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Hillsdale HS ,Hillsdale,MI
