,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,10,10.0,Pirates,Y,Wayne Dickerson (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Ensley HS ,Birmingham,AL
1,1965,2,30,10.0,Pirates,Y,Roger Hayward (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Northern HS ,Pontiac,MI
2,1965,3,50,10.0,Pirates,Y,Dick Hendrix (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Princeton HS ,Cincinnati,OH
3,1965,4,62,2.0,Pirates,Y,Edward Berube (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Colby College ,Waterville,ME
4,1965,5,82,2.0,Pirates,Y,Bob Settle (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Woodrow Wilson HS ,Portsmouth,VA
5,1965,6,102,2.0,Pirates,Y,Ronald Young (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Canton South HS ,Canton,OH
6,1965,7,122,2.0,Pirates,N,Steve Schneider (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Minnesota ,Minneapolis,MN
7,1965,8,146,0.0,Pirates,N,Terry Thompson (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Sunset HS ,Portland,OR
8,1965,9,168,0.0,Pirates,Y,Larry Killingsworth (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,David Starr Jordan HS ,Long Beach,CA
9,1965,10,195,0.0,Pirates,N,Kerry Dean (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Mansfield HS ,Mansfield,OH
10,1965,11,207,0.0,Pirates,Y,Zelman Jack (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Pittsburg HS ,Pittsburg,CA
11,1965,12,228,0.0,Pirates,Y,Douglas Watkins (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bloomsburg HS ,Cheverly,MD
12,1965,13,255,0.0,Pirates,Y,Jackie Clark (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,St. Charles HS ,St. Charles,MO
13,1965,14,267,0.0,Pirates,Y,Terry Sparks (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Minford HS ,Minford,OH
14,1965,15,288,0.0,Pirates,Y,Irvin Melton (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Aulander HS ,Aulander,NC
15,1965,16,315,0.0,Pirates,Y,Paul Giglio (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Flushing HS ,Bayside,NY
16,1965,17,327,0.0,Pirates,Y,Sam Angott (minors),INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Ohio University ,Athens,OH
17,1965,18,348,0.0,Pirates,Y,Bob Moose (minors),RHP,7.4,295.0,397.0,1.0,0.141,0.381,289.0,76.0,71.0,3.5,1.3,19.0,HS,Franklin HS ,Franklin,PA
18,1965,19,375,0.0,Pirates,N,Bob Shannon (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
19,1965,20,387,0.0,Pirates,Y,Gene Garber (minors),RHP,16.9,833.0,115.0,0.0,0.14800000000000002,0.376,931.0,96.0,113.0,3.34,1.26,218.0,HS,Elizabethtown HS ,Elizabethtown,PA
20,1965,21,408,0.0,Pirates,N,Jophery Brown (minors),RHP,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.5,1.5,0.0,4Yr,Grambling State University ,Grambling,LA
21,1965,22,434,0.0,Pirates,Y,Freddie Patek (minors),SS,24.1,1650.0,5530.0,41.0,0.242,0.633,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,
22,1965,23,444,0.0,Pirates,Y,Sonny Custer (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,James Madison HS ,Vienna,VA
23,1965,24,463,0.0,Pirates,Y,Preston Bentley (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Washington HS ,Washington,OH
24,1965,25,487,0.0,Pirates,Y,Roger Banze (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Francis Howell HS ,St. Charles,MO
25,1965,26,496,0.0,Pirates,N,Tom Dettore (minors),RHP,-1.1,68.0,48.0,0.0,0.229,0.5379999999999999,68.0,8.0,11.0,5.21,1.53,0.0,HS,Canon-McMillan HS ,Canonsburg,PA
26,1965,27,515,0.0,Pirates,N,George Putz (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Rockville HS ,Rockville,CT
27,1965,28,539,0.0,Pirates,Y,Dave Tolley (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Grove City College ,Grove City,PA
28,1965,29,548,0.0,Pirates,N,Greg Chlan (minors),P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Westfield HS ,Westfield,NJ
29,1965,30,566,0.0,Pirates,Y,Lou Marone (minors),LHP,0.9,30.0,0.0,0.0,0.0,0.0,30.0,1.0,1.0,2.63,1.04,0.0,JC,San Diego Mesa College ,San Diego,CA
30,1965,31,588,0.0,Pirates,Y,Jim Nelson (minors),RHP,1.7,32.0,26.0,0.0,0.269,0.603,32.0,6.0,4.0,3.06,1.5,0.0,HS,Luther Burbank HS ,Sacramento,CA
31,1965,32,597,0.0,Pirates,Y,Benjamin Grove (minors),INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Frederick HS ,Frederick,MD
32,1965,33,614,0.0,Pirates,Y,Robert Roadarmel (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Florida Southern College ,Lakeland,FL
