,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1968,4,83,23,Padres,Y,Luciano Hernandez (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Solana Beach HS ,Solana Beach,CA
1,1968,5,107,23,Padres,Y,John Preston (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Sweetwater HS ,National City,CA
2,1968,6,131,23,Padres,Y,Bob McRoberts (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Crawford HS ,San Diego,CA
3,1968,7,155,23,Padres,Y,Dave Robinson (minors),OF,0.4,22.0,44.0,2.0,0.273,0.815,0.0,0.0,0.0,0.0,0.0,0.0,HS,Clairmont HS ,Clairmont,CA
4,1968,8,179,23,Padres,Y,Alan Hansen (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Mesa HS ,Mesa,AZ
5,1968,9,203,23,Padres,Y,Dale Davis (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Kearny HS ,San Diego,CA
6,1968,10,227,23,Padres,Y,Andy Hancock (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Furman University ,Greenville,SC
7,1968,11,251,23,Padres,Y,Matthew Rosiek (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Indian River Community College ,Fort Pierce,FL
8,1968,12,275,23,Padres,Y,Dave Moates (minors),OF,-0.3,140.0,312.0,3.0,0.26,0.655,0.0,0.0,0.0,0.0,0.0,0.0,JC,"State College of Florida, Manatee-Sarasota ",Bradenton,FL
9,1968,13,299,23,Padres,Y,Robert Thompson (minors),INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Clairemont HS ,San Diego,CA
10,1968,14,324,24,Padres,Y,Jim Crawford (minors),LHP,-2.7,92.0,30.0,0.0,0.267,0.667,181.0,15.0,28.0,4.4,1.53,13.0,HS,Tucson HS ,Tucson,AZ
11,1968,15,347,23,Padres,Y,Ronnie McGarity (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,North Cobb HS ,Kennesaw,GA
12,1968,16,371,23,Padres,Y,Ignacio Bracamontes (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Sweetwater HS ,National City,CA
13,1968,17,395,23,Padres,Y,Theodore Tomasovich (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Georgia Institute of Technology ,Atlanta,GA
14,1968,18,419,23,Padres,Y,Ronald Drake (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Southern California ,Los Angeles,CA
15,1968,19,442,22,Padres,Y,Earl Altschuler (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Crawford HS ,San Diego,CA
16,1969,1,24,24,Padres,Y,Randy Elliott (minors),1B,-1.7,114.0,288.0,8.0,0.215,0.616,0.0,0.0,0.0,0.0,0.0,0.0,HS,Adolfo Camarillo HS ,Camarillo,CA
17,1969,2,48,24,Padres,Y,Elias Borunda (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Thomas Jefferson HS ,San Antonio,TX
18,1969,3,72,24,Padres,Y,Rudy Arroyo (minors),SS,-0.2,9.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,5.4,1.97,0.0,4Yr,University of Massachusetts Amherst ,Amherst,MA
19,1969,4,96,24,Padres,Y,Edward Rundle (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Lamar University ,Beaumont,TX
20,1969,5,120,24,Padres,Y,Gil Vidrio (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Sweetwater HS ,National City,CA
21,1969,6,144,24,Padres,Y,Richard Longhurst (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Pocatello HS ,Pocatello,ID
22,1969,7,168,24,Padres,N,Stephen Peck (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,De Anza HS ,Richmond,CA
23,1969,8,192,24,Padres,N,William Berkes (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,T. R. Robinson HS ,Tampa,FL
24,1969,9,216,24,Padres,Y,Aubrey Anderson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Escambia HS ,Pensacola,FL
25,1969,10,240,24,Padres,N,John Dean (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Calhoun HS ,Calhoun,GA
26,1969,11,264,24,Padres,Y,Grant Steer (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of San Francisco ,San Francisco,CA
27,1969,12,288,24,Padres,N,Dennis Loewe (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,John J Pershing College ,Beatrice,NE
28,1969,13,312,24,Padres,Y,Guy Eargle (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of South Carolina ,Columbia,SC
29,1969,14,336,24,Padres,Y,Danny Young (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Lodi HS ,Lodi,CA
30,1969,15,360,24,Padres,Y,Wayne Zurburg (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Broward Community College ,Fort Lauderdale,FL
31,1969,16,384,24,Padres,Y,Gregory Sinclair (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of San Francisco ,San Francisco,CA
32,1969,17,408,24,Padres,N,James Kirkland (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Savannah HS ,Savannah,GA
33,1969,18,432,24,Padres,N,Doug DeCinces (minors),3B,41.7,1649.0,5809.0,237.0,0.259,0.774,0.0,0.0,0.0,0.0,0.0,0.0,JC,Los Angeles Pierce College ,Woodland Hills,CA
34,1969,19,456,24,Padres,N,David Fussell (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Tennessee at Chattanooga ,Chattanooga,TN
35,1969,20,480,24,Padres,N,Richard Horn (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Avondale HS ,Avondale Estates,GA
36,1969,21,504,24,Padres,Y,David Kostival (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Athens HS ,Chauncey,OH
37,1969,22,528,24,Padres,Y,Brian Brown (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,James Monroe HS ,Bronx,NY
38,1969,23,552,24,Padres,N,John Blue (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Tempe HS ,Tempe,AZ
39,1969,24,576,24,Padres,Y,Michael Anders (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Gonzaga University ,Spokane,WA
40,1969,25,600,24,Padres,Y,Marvin Sherzer (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of South Florida ,Tampa,FL
41,1969,26,623,23,Padres,N,Rick Simmons (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,John R. Rogers HS ,Spokane,WA
42,1969,27,646,23,Padres,Y,Richard Zinniger (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Brigham Young University ,Provo,UT
43,1969,28,669,23,Padres,N,Gregory Prickett (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Middle Georgia College ,Cochran,GA
44,1969,29,692,23,Padres,N,Kenneth Robinson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Oakland HS ,Oakland,CA
45,1969,30,714,22,Padres,N,Michael Dishman (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Washington HS ,Portland,OR
46,1969,31,736,22,Padres,Y,Lawrence Whiteside (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Dixie Hollins HS ,St. Petersburg,FL
47,1969,32,757,21,Padres,N,Earl Austin (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Dos Palos HS ,Dos Palos,CA
48,1969,33,778,21,Padres,N,Michael Wells (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Normal Community HS ,Normal,IL
49,1970,1,1,1,Padres,Y,Mike Ivie (minors),C,7.3,857.0,2694.0,81.0,0.26899999999999996,0.7440000000000001,0.0,0.0,0.0,0.0,0.0,0.0,HS,Walker HS ,Atlanta,GA
50,1970,2,25,1,Padres,Y,Dan Spillner (minors),RHP,8.9,199.0,130.0,0.0,0.077,0.27899999999999997,556.0,75.0,89.0,4.21,1.47,50.0,HS,Federal Way HS ,Federal Way,WA
51,1970,3,49,1,Padres,Y,Fred Seibly (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Granada Hills HS ,Granada Hills,CA
52,1970,4,74,2,Padres,Y,Steve Simpson (minors),RHP,-0.1,9.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,4.76,1.59,2.0,4Yr,Washburn University ,Topeka,KS
53,1970,5,99,2,Padres,Y,Ulysees Wilson (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Florida Agricultural and Mechanical University ,Tallahassee,FL
54,1970,6,124,2,Padres,Y,Bob Davis (minors),RHP,-2.1,290.0,665.0,6.0,0.19699999999999998,0.511,0.0,0.0,0.0,0.0,0.0,0.0,HS,Locust Grove HS ,Locust Grove,OK
55,1970,7,149,2,Padres,Y,Richard Arendell (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Mayfair HS ,Lakewood,CA
56,1970,8,174,2,Padres,Y,Wayne Rettig (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Central HS ,Davenport,IA
57,1970,9,199,2,Padres,Y,Robert Gibson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,McLain HS ,Tulsa,OK
58,1970,10,224,2,Padres,Y,Edward Evilsizor (minors),INF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Kearny HS ,San Diego,CA
59,1970,11,248,1,Padres,N,Marvin Webb (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,J.F Kennedy HS ,San Pablo,CA
60,1970,12,272,1,Padres,Y,Ronald Olson (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Clayton Valley HS ,Concord,CA
61,1970,13,296,1,Padres,N,Steve Dillard (minors),SS,-1.4,438.0,1013.0,13.0,0.243,0.637,0.0,0.0,0.0,0.0,0.0,0.0,HS,Saltillo HS ,Saltillo,MS
62,1970,14,320,1,Padres,Y,Nick Perlozza (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,High Point University ,High Point,NC
63,1970,15,344,1,Padres,Y,John Krawiecki (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of New Haven ,West Haven,CT
64,1970,16,368,1,Padres,Y,Douglas Hunt (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,San Diego State University ,San Diego,CA
65,1970,17,392,1,Padres,N,Ron Scott (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Eastern Oregon University ,La Grande,OR
66,1970,18,416,1,Padres,Y,Ralph Garcia (minors),RHP,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,4.7,1.89,0.0,4Yr,University of Nevada-Las Vegas ,Las Vegas,NV
67,1970,19,440,1,Padres,Y,William Morrell (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Ferris State University ,Big Rapids,MI
68,1970,20,464,1,Padres,N,Thomas Hurn (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Central HS ,Cedar Rapids,IA
69,1970,21,488,1,Padres,N,Terry Farmer (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Jordan HS ,Columbus,GA
70,1970,22,514,3,Padres,N,Roger Keilig (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,San Carlos HS ,San Carlos,CA
71,1970,23,536,1,Padres,Y,Larry Hardy (minors),RHP,-1.6,94.0,12.0,0.0,0.0,0.077,94.0,9.0,4.0,5.29,1.8,5.0,4Yr,University of Texas at Austin ,Austin,TX
72,1970,24,560,1,Padres,Y,Michael Smith (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of the Pacific ,Stockton,CA
73,1970,24,560,1,Padres,Y,Michael Smith (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Washington ,Seattle,WA
74,1970,25,584,1,Padres,Y,Richard Brown (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Oklahoma ,Norman,OK
75,1971,1,2,2,Padres,Y,Jay Franklin (minors),RHP,-0.2,3.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,6.35,1.59,0.0,HS,James Madison HS ,Vienna,VA
76,1971,2,26,2,Padres,Y,Willie Boynton (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Springfield HS ,Skowhegan,ME
77,1971,4,75,3,Padres,Y,Craig Settles (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Point Loma HS ,San Diego,CA
