,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1977,1,26,26,Mariners,Y,Dave Henderson (minors),OF,27.6,1538.0,5130.0,197.0,0.258,0.7559999999999999,0.0,0.0,0.0,0.0,0.0,0.0,HS,Dos Palos HS ,Dos Palos,CA
1,1977,2,52,26,Mariners,Y,Henry Bender (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Wilson HS ,Tacoma,WA
2,1977,3,78,26,Mariners,Y,Bud Anderson (minors),RHP,2.1,0.0,0.0,0.0,0.0,0.0,64.0,4.0,10.0,3.68,1.41,7.0,4Yr,"Rutgers, the State University of New Jersey ",New Brunswick,NJ
3,1977,4,104,26,Mariners,Y,Kyle Koke (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,South Grand Prairie HS ,Grand Prairie,TX
4,1977,5,130,26,Mariners,Y,Ron Musselman (minors),RHP,0.7,0.0,0.0,0.0,0.0,0.0,48.0,4.0,2.0,3.73,1.51,1.0,4Yr,Clemson University ,Clemson,SC
5,1977,6,156,26,Mariners,Y,Anthony Cameron (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Pepperdine University ,Malibu,CA
6,1977,7,182,26,Mariners,Y,Michael Moore (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Davis HS ,Yakima,WA
7,1977,8,208,26,Mariners,Y,Rod Hobbs (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Renton HS ,Seattle,WA
8,1977,9,234,26,Mariners,Y,Tracy Harris (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Washington State University ,Pullman,WA
9,1977,10,260,26,Mariners,N,John Haley (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Anacortes HS ,Anacortes,WA
10,1977,11,286,26,Mariners,N,Bill Latham (minors),LHP,0.0,7.0,3.0,0.0,0.333,0.833,14.0,1.0,4.0,5.35,1.5,0.0,HS,Huffman HS ,Birmingham,AL
11,1977,12,312,26,Mariners,Y,Karl Best (minors),RHP,1.0,0.0,0.0,0.0,0.0,0.0,61.0,5.0,6.0,4.04,1.48,5.0,HS,Kent-Meridian HS ,Kent,WA
12,1977,13,338,26,Mariners,Y,Mark Oestreich (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Florida International University ,Miami,FL
13,1977,14,364,26,Mariners,Y,Tim Hallgren (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Charles F. Adams HS ,Clarkston,WA
14,1977,15,390,26,Mariners,Y,Greg Biercevicz (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Connecticut ,Storrs,CT
15,1977,16,416,26,Mariners,N,Tony Phillips (minors),SS,50.9,2161.0,7617.0,160.0,0.266,0.763,0.0,0.0,0.0,0.0,0.0,0.0,HS,Roswell HS ,Roswell,GA
16,1977,16,416,26,Mariners,N,Tony Phillips (minors),SS,50.9,2161.0,7617.0,160.0,0.266,0.763,0.0,0.0,0.0,0.0,0.0,0.0,HS,Roswell HS ,Roswell,GA
17,1977,16,416,26,Mariners,N,Tony Phillips (minors),SS,50.9,2161.0,7617.0,160.0,0.266,0.763,0.0,0.0,0.0,0.0,0.0,0.0,HS,University of Southern Mississippi ,Hattiesburg,MS
18,1977,16,416,26,Mariners,N,Tony Phillips (minors),SS,50.9,2161.0,7617.0,160.0,0.266,0.763,0.0,0.0,0.0,0.0,0.0,0.0,HS,University of Southern Mississippi ,Hattiesburg,MS
19,1977,16,416,26,Mariners,N,Tony Phillips (minors),SS,50.9,2161.0,7617.0,160.0,0.266,0.763,0.0,0.0,0.0,0.0,0.0,0.0,HS,Roswell HS ,Roswell,GA
20,1977,16,416,26,Mariners,N,Tony Phillips (minors),SS,50.9,2161.0,7617.0,160.0,0.266,0.763,0.0,0.0,0.0,0.0,0.0,0.0,HS,Roswell HS ,Roswell,GA
21,1977,16,416,26,Mariners,N,Tony Phillips (minors),SS,50.9,2161.0,7617.0,160.0,0.266,0.763,0.0,0.0,0.0,0.0,0.0,0.0,HS,University of Southern Mississippi ,Hattiesburg,MS
22,1977,16,416,26,Mariners,N,Tony Phillips (minors),SS,50.9,2161.0,7617.0,160.0,0.266,0.763,0.0,0.0,0.0,0.0,0.0,0.0,HS,University of Southern Mississippi ,Hattiesburg,MS
23,1977,17,441,25,Mariners,Y,James Knight (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Hillsborough Community College ,Tampa,FL
24,1977,18,466,25,Mariners,Y,Lloyd Ard (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Florida International University ,Miami,FL
25,1977,19,490,24,Mariners,Y,Alfred Weston (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Michigan State University ,East Lansing,MI
26,1977,20,514,24,Mariners,Y,Gary McDonnell (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Nicholls State University ,Thibodaux,LA
27,1977,21,538,24,Mariners,Y,Larry Patterson (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Gonzaga University ,Spokane,WA
28,1977,22,562,24,Mariners,Y,Calvin King (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Southern University and A&M College ,Baton Rouge,LA
29,1977,23,586,24,Mariners,N,Rick Ramos (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Lewis University ,Romeoville,IL
30,1977,24,608,22,Mariners,N,Thomas Bloemke (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Missouri Columbia ,Columbia,MO
31,1977,25,629,21,Mariners,N,John Hills (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,California State University Los Angeles ,Los Angeles,CA
32,1977,26,650,21,Mariners,Y,Scott Miller (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of South Florida ,Tampa,FL
33,1977,27,668,18,Mariners,N,Delbert Curtis (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Central Arizona College ,Coolidge,AZ
34,1977,28,684,16,Mariners,N,Larry Filer (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Arizona State University ,Tempe,AZ
35,1977,29,697,13,Mariners,N,Richard Santarone (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Cherry Hill HS ,Cherry Hill,NJ
36,1977,30,708,11,Mariners,Y,Thomas Fitzgerald (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Florida International University ,Miami,FL
37,1977,31,719,11,Mariners,N,Juan Corey (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Central HS ,Miami,FL
38,1977,32,730,11,Mariners,N,John Jordan (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Mount St. Joseph's HS ,Baltimore,MD
39,1978,1,6,6,Mariners,Y,Tito Nanni (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Chestnut Hill Academy HS ,Willow Grove,PA
40,1978,2,32,6,Mariners,Y,Dave Valle (minors),C,10.0,970.0,2775.0,77.0,0.237,0.687,0.0,0.0,0.0,0.0,0.0,0.0,HS,Holy Cross HS ,Flushing,NY
41,1978,2,34,8,Mariners via Brewers,Y,*Richard Naumann (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bay HS ,Bay Village,OH
42,1978,3,58,6,Mariners,Y,Robert Simond (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Southern Illinois University Carbondale ,Carbondale,IL
43,1978,4,84,6,Mariners,Y,Ronald McGee (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Lincoln HS ,San Jose,CA
44,1978,5,110,6,Mariners,Y,Werner Lajszky (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Mater Christi HS ,Astoria,NY
45,1978,6,136,6,Mariners,Y,Douglas Smith (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Oklahoma ,Norman,OK
46,1978,7,162,6,Mariners,Y,John Hobbs (minors),LHP,0.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.18,1.94,0.0,4Yr,Lynchburg College ,Lynchburg,VA
47,1978,8,188,6,Mariners,Y,Lazaro Santin (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Rochester Adams HS ,Miami,FL
48,1978,9,214,6,Mariners,Y,Richard Graser (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Fort Vancouver HS ,Vancouver,WA
49,1978,10,240,6,Mariners,Y,Bob Stoddard (minors),RHP,5.2,19.0,1.0,0.0,0.0,0.0,119.0,18.0,27.0,4.03,1.38,3.0,4Yr,California State University Fresno ,Fresno,CA
50,1978,11,266,6,Mariners,Y,Vance McHenry (minors),SS,-0.4,18.0,19.0,0.0,0.211,0.461,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Nevada-Las Vegas ,Las Vegas,NV
51,1978,12,292,6,Mariners,Y,Terrance Mixon (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Georgia Southern University ,Statesboro,GA
