Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1965,1,14,14,Giants,Y,Al Gallagher (minors),3B,3,442,1264,11,0.263,0.672,0,0,0,0,0,0,4Yr,Santa Clara University ,Santa Clara,CA
1,1965,2,34,14,Giants,N,Glenn Smith (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Arizona State University ,Tempe,AZ
2,1965,3,54,14,Giants,Y,Kenneth Fila (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Archbishop Ryan HS ,Omaha,NE
3,1965,4,72,12,Giants,Y,Harold Jeffcoat (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,T. R. Robinson HS ,Tampa,FL
4,1965,5,92,12,Giants,Y,Rich Robertson (minors),RHP,-2,86,86,2,0.093,0.3,86,13,14,4.94,1.61,2,4Yr,Santa Clara University ,Santa Clara,CA
5,1965,6,112,12,Giants,Y,John Marsden (minors),3B,0,0,0,0,0,0,0,0,0,0,0,0,HS,West HS ,Torrance,CA
6,1965,7,132,12,Giants,Y,Doug McMillan (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Santa Monica HS ,Santa Monica,CA
7,1965,8,179,0,Giants,Y,David Matthews (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Reading HS ,Reading,PA
8,1965,9,180,0,Giants,N,Richard Hardiman (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Mortimer Jordan HS ,Morris,AL
9,1965,10,182,0,Giants,N,Dick White (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,HS,South HS ,Torrance,CA
10,1965,11,239,0,Giants,Y,Chris Arnold (minors),SS,-0.8,273,435,4,0.237,0.618,0,0,0,0,0,0,HS,Arcadia HS ,Arcadia,CA
11,1965,12,240,0,Giants,N,Michael Smith (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Whitehaven HS ,Memphis,TN
12,1965,13,242,0,Giants,Y,Seth Marty (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,HS,Sierra HS ,Whittier,CA
13,1965,14,299,0,Giants,Y,Howard Martin (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Santa Clara University ,Santa Clara,CA
14,1965,15,300,0,Giants,N,Albert Strane (minors),SS,0,0,0,0,0,0,0,0,0,0,0,0,HS,St. Elizabeth HS ,Oakland,CA
15,1965,16,302,0,Giants,N,Jon Baker (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Sunset HS ,Portland,OR
16,1965,17,359,0,Giants,Y,Jay Reed (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Washington Union HS ,Fresno,CA
17,1965,18,360,0,Giants,N,Gary Ford (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Bullis Prep HS ,Walnut Creek,CA
18,1965,19,362,0,Giants,Y,John Guthrie (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Alhambra HS ,Glendale,AZ
19,1965,20,419,0,Giants,Y,Larry Tolliver (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,JC,Bakersfield College ,Bakersfield,CA
20,1965,21,420,0,Giants,Y,Noel Finley (minors),2B,0,0,0,0,0,0,0,0,0,0,0,0,HS,Roosevelt HS ,Fresno,CA
21,1965,22,422,0,Giants,Y,Ron Bryant (minors),LHP,3.6,206,291,0,0.165,0.389,205,57,56,4.02,1.38,1,HS,Davis HS ,Davis,CA
22,1965,23,472,0,Giants,Y,Val Bush (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Eastern Illinois University ,Charleston,IL
23,1965,24,473,0,Giants,N,Alan Diamond (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,"University of California, Berkeley ",Berkeley,CA
24,1965,25,475,0,Giants,N,John Biedenbach (minors),INF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Michigan State University ,East Lansing,MI
25,1965,26,524,0,Giants,Y,Joseph Pollack (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Minnesota ,Minneapolis,MN
