Column1,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,GPl,AB,HR,BA,OPS,GPi,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1996,1,29,29,Rays,Y,Paul Wilder (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Cary HS ,Cary,NC
1,1996,2,64,29,Rays,Y,Doug Johnson (minors),1B,0,0,0,0,0,0,0,0,0,0,0,0,HS,F. W. Buchholz HS ,Gainesville,FL
2,1996,3,94,29,Rays,Y,Ed Koffer (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,HS,Tarpon Springs HS ,Tarpon Springs,FL
3,1996,4,124,29,Rays,Y,Cedrick Bowers (minors),LHP,-0.4,8,0,0,0,0,19,0,1,7.4,1.65,0,HS,Chiefland HS ,Chiefland,FL
4,1996,5,154,29,Rays,Y,Alex Sanchez (minors),OF,1.1,427,1527,6,0.296,0.702,0,0,0,0,0,0,4Yr,"Miami-Dade College, Wolfson Campus ",Miami,FL
5,1996,6,184,29,Rays,Y,Elliot Brown (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Auburn University ,Auburn,AL
6,1996,7,214,29,Rays,Y,Mickey Callaway (minors),RHP,-1.5,5,3,0,0.667,1.333,40,4,11,6.27,1.71,0,4Yr,University of Mississippi ,Oxford,MS
7,1996,8,244,29,Rays,Y,Matt Quatraro (minors),C,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Old Dominion University ,Norfolk,VA
8,1996,9,274,29,Rays,Y,Denis Pujals (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Miami ,Coral Gables,FL
9,1996,10,304,29,Rays,Y,Chie Gunner (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,HS,Grand View HS ,Grand View,MO
10,1996,11,334,29,Rays,Y,Robert Cafaro (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Southern Connecticut State University ,New Haven,CT
11,1996,12,364,29,Rays,Y,Scott Madison (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,"Rutgers, the State University of New Jersey ",New Brunswick,NJ
12,1996,13,394,29,Rays,Y,Shawn Stutz (minors),RHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Florida International University ,Miami,FL
13,1996,14,424,29,Rays,Y,Delvin James (minors),RHP,-0.2,0,0,0,0,0,8,0,3,6.55,1.6,0,HS,Nacogdoches HS ,Nacogdoches,TX
14,1996,15,454,29,Rays,Y,John Kaufman (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Florida ,Gainesville,FL
15,1996,16,484,29,Rays,Y,Jared Sandberg (minors),3B,2.3,196,630,25,0.221,0.703,0,0,0,0,0,0,HS,Capital HS ,Olympia,WA
16,1996,17,514,29,Rays,Y,Mike DeCelle (minors),OF,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,University of Miami ,Coral Gables,FL
17,1996,18,544,29,Rays,Y,Brad Weber (minors),LHP,0,0,0,0,0,0,0,0,0,0,0,0,4Yr,Indiana University-Bloomington ,Bloomington,IN
