,Year,Rnd,OvPck,RdPck,Tm,Signed,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,school,town,ST
0,1968,4,81,21,Nationals,Y,Michael Swain (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,The Ohio State University ,Columbus,OH
1,1968,5,105,21,Nationals,Y,Frank Ward (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Southern Polytechnic State University ,Marietta,GA
2,1968,6,129,21,Nationals,Y,Roger Nelson (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Lincoln Southeast HS ,Lincoln,NE
3,1968,7,153,21,Nationals,Y,Kevin Bryant (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Winter Haven HS ,Winter Haven,FL
4,1968,8,177,21,Nationals,Y,William Kendall (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Minnesota ,Minneapolis,MN
5,1968,9,201,21,Nationals,Y,Ross Hoffman (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"University of California, Los Angeles ",Los Angeles,CA
6,1968,10,225,21,Nationals,Y,Carlton Exum (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Evans HS ,Orlando,FL
7,1968,11,249,21,Nationals,Y,Dave Hartman (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Iowa State University ,Ames,IA
8,1968,12,273,21,Nationals,Y,John Palmer (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Minnesota ,Minneapolis,MN
9,1968,13,297,21,Nationals,Y,Larry Woltz (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Georgia Perimeter College ,Covington,GA
10,1968,14,321,21,Nationals,Y,Joseph Marecki (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Miami-Dade College ,Miami,FL
11,1968,15,345,21,Nationals,Y,Richard Trembecki (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Denver ,Denver,CO
12,1968,16,369,21,Nationals,Y,Richard Turner (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Eau Gallie HS ,Melbourne,FL
13,1968,17,393,21,Nationals,Y,William Seagraves (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Edgewater HS ,Orlando,FL
14,1968,18,417,21,Nationals,Y,Michael Fulford (minors),3B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,"Miami-Dade College, Kendall Campus ",Miami,FL
15,1969,1,22,22,Expos,Y,Balor Moore (minors),LHP,-0.8,71.0,113.0,0.0,0.106,0.282,180.0,28.0,48.0,4.52,1.49,1.0,HS,Deer Park HS ,Deer Park,TX
16,1969,2,46,22,Expos,N,James Kocoloski (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Shadyside Academy HS ,Monroeville,PA
17,1969,4,94,22,Expos,Y,John Reid (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Colgate University ,Hamilton,NY
18,1969,5,118,22,Expos,Y,Eliseo Pompa (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Mission HS ,Mission,TX
19,1969,6,142,22,Expos,N,Harry Conlan (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,West Haven HS ,West Haven,CT
20,1969,7,166,22,Expos,Y,Todd Brentlinger (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Los Altos HS ,Los Altos,CA
21,1969,8,190,22,Expos,N,Bill Sanford (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Los Altos HS ,Los Altos,CA
22,1969,9,214,22,Expos,N,Timothy Coffin (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Palos Verdes HS ,Palos Verdes Estates,CA
23,1969,10,238,22,Expos,N,Robert Mollenhauer (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,St. Mary of the Assumption HS ,Elizabeth,NJ
24,1969,11,262,22,Expos,Y,Lincoln Clark (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Northwestern HS ,Detroit,MI
25,1969,12,286,22,Expos,N,Richard Brown (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,DeAnza College ,Cupertino,CA
26,1969,13,310,22,Expos,Y,Stephen Keller (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Loyola Marymount University ,Los Angeles,CA
27,1969,14,334,22,Expos,Y,Robert Schleider (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,A&M Consolidated HS ,College Station,TX
28,1969,15,358,22,Expos,Y,Glenn Vickery (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Ben C. Rains HS ,Mobile,AL
29,1969,16,382,22,Expos,Y,James Sparkman (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,University of Houston ,Houston,TX
30,1969,17,406,22,Expos,N,Brad Graff (minors),SS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Appleton HS ,Appleton,WI
31,1969,18,430,22,Expos,Y,John Reen (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,JC,Seminole Community College ,Sanford,FL
32,1969,19,454,22,Expos,Y,Randolph Brunner (minors),1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Westminster HS ,Atlanta,GA
33,1969,20,478,22,Expos,N,Jack Garrett (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Eastern Hills HS ,Fort Worth,TX
34,1969,21,502,22,Expos,N,David Frezza (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Clawson HS ,Clawson,MI
35,1969,22,526,22,Expos,Y,Gerald Castaldo (minors),C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Bayonne HS ,Bayonne,NJ
36,1969,23,550,22,Expos,Y,Brian Abraham (minors),LHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Biloxi HS ,Biloxi,MS
37,1969,24,574,22,Expos,N,Thomas Mims (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Drew HS ,Drew,MS
38,1969,25,598,22,Expos,Y,Donald Klinger (minors),2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4Yr,Rider University ,Lawrenceville,NJ
39,1969,26,621,21,Expos,Y,Pat Russell (minors),RHP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,Nazareth HS ,Brooklyn,NY
40,1969,27,644,21,Expos,N,Joseph Flannery (minors),OF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HS,South Plainfield HS ,South Plainfield,NJ
