,AB,BA,Column1,ERA,GPi,GPl,Gpi,HR,L,Name,OPS,OvPck,Pos,RdPck,Rnd,ST,SV,Signed,Tm,Type,W,WAR,WHIP,Year,school,town
2015,0,0.0,2780,0.0,,0,0.0,0,0,Taylor Ward (minors),0.0,26,C,26,1,CA,0,Y,Angels,4Yr,0,0.0,0.0,2015,California State University Fresno ,Fresno
2016,0,0.0,2781,0.0,,0,0.0,0,0,Jahmai Jones (minors),0.0,70,OF,28,2,GA,0,Y,Angels,HS,0,0.0,0.0,2015,Wesleyan School ,Norcross
2017,0,0.0,2782,0.0,,0,0.0,0,0,Grayson Long (minors),0.0,104,RHP,29,3,TX,0,Y,Angels,4Yr,0,0.0,0.0,2015,Texas A&M University ,College Station
2018,0,0.0,2783,0.0,,0,0.0,0,0,Brendon Sanger (minors),0.0,135,RF,30,4,FL,0,Y,Angels,4Yr,0,0.0,0.0,2015,Florida Atlantic University ,Boca Raton
2019,0,0.0,2784,0.0,,0,0.0,0,0,Jared Foster (minors),0.0,165,RF,30,5,LA,0,Y,Angels,4Yr,0,0.0,0.0,2015,Louisiana State University ,Baton Rouge
2020,76,0.25,2785,0.0,,27,0.0,1,0,David Fletcher (minors),0.639,195,SS,30,6,CA,0,Y,Angels,4Yr,0,0.0,0.0,2015,Loyola Marymount University ,Los Angeles
2021,0,0.0,2786,0.0,,0,0.0,0,0,Hutton Moyer (minors),0.0,225,2B,30,7,CA,0,Y,Angels,4Yr,0,0.0,0.0,2015,Pepperdine University ,Malibu
2022,0,0.0,2787,0.0,,0,0.0,0,0,Kyle Survance (minors),0.0,255,CF,30,8,TX,0,Y,Angels,4Yr,0,0.0,0.0,2015,University of Houston ,Houston
2023,0,0.0,2788,0.0,,0,0.0,0,0,Tanner Lubach (minors),0.0,285,C,30,9,NE,0,Y,Angels,4Yr,0,0.0,0.0,2015,University of Nebraska at Lincoln ,Lincoln
2024,0,0.0,2789,0.0,,0,0.0,0,0,Adam Hofacket (minors),0.0,315,RHP,30,10,CA,0,Y,Angels,4Yr,0,0.0,0.0,2015,California Baptist University ,Riverside
2025,0,0.0,2790,0.0,,0,0.0,0,0,Jimmy Barnes (minors),0.0,345,LF,30,11,VA,0,Y,Angels,HS,0,0.0,0.0,2015,Deep Creek HS ,Chesapeake
2026,0,0.0,2791,0.0,,0,0.0,0,0,Dalton Blumenfeld (minors),0.0,375,C,30,12,CA,0,Y,Angels,HS,0,0.0,0.0,2015,Hamilton HS ,Los Angeles
2027,0,0.0,2792,0.0,,0,0.0,0,0,Jeff Boehm (minors),0.0,405,LF,30,13,IL,0,Y,Angels,4Yr,0,0.0,0.0,2015,University of Illinois at Chicago ,Chicago
